Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,63,13,2021-04-14,SDP,@,PIT,"L,1-5",5-5,,99,1.0,2,1,1,0,1,0,0,9.0,1.17,5,20.0,13.0,4,2,2,2,2,0,0,,0.0,0.0,0,0,0,5,1,0,0,0,0,0,1.06,-0.072,1.11,-0.05%,-0.49,,,5b --- 0 out d1,5b 3 out d2,,2021-04-14,135,134,634523
2,64,15,2021-04-16,SDP,,LAD,"L,6-11",4-4,,1,0.1,0,0,0,0,0,0,0,6.75,1.67,1,,,0,0,0,1,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1.04,0.029,1.35,0.02%,0.22,,,4t 1-- 2 out a1,4t 3 out a1,,2021-04-16,135,119,634531
3,65,16,2021-04-17,SDP,,LAD,"L,0-2",8-8,,0,1.0,1,0,0,0,2,0,0,3.86,0.6,4,23.0,14.0,4,5,0,2,2,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.8,0.048,1.02,0.04%,0.47,,,8t --- 0 out d1,8t 3 out d1,,2021-04-17,135,119,634449
4,66,19,2021-04-20,SDP,,MIL,"L,0-6",8-8,,2,1.0,1,0,0,0,2,0,0,2.7,0.17,4,14.0,12.0,3,4,1,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.06,0.003,0.06,0.00%,0.47,,,8t --- 0 out d5,8t 3 out d5,,2021-04-20,135,158,634392
5,67,20,2021-04-21,SDP,,MIL,"L,2-4",5-5,H(1),0,1.0,0,0,0,0,2,0,0,2.08,-0.06,3,13.0,8.0,3,3,0,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.91,0.068,0.88,0.04%,0.47,,,5t --- 0 out a1,5t 3 out a1,,2021-04-21,135,158,634476
6,68,23,2021-04-24,SDP,@,LAD,"L,4-5",6-6,BL(0-1),2,0.0,3,3,3,1,0,0,0,8.31,0.63,4,14.0,6.0,3,0,1,2,2,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,2.71,-0.349,3.24,-0.25%,-2.32,,,6b --- 1 out a1,6b 123 1 out tie,,2021-04-24,135,119,634361
7,69,25,2021-04-27,SDP,@,ARI,"L,1-5",7-7,,2,1.0,0,0,0,0,2,0,0,6.75,0.36,3,14.0,9.0,6,2,0,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.08,0.007,0.09,0.00%,0.51,,,7b --- 0 out d4,7b 3 out d4,,2021-04-27,135,109,634364
8,70,28,2021-05-01,SDP,,SFG,"W,6-2",9-GF,,3,1.0,0,0,0,1,0,0,0,5.68,1.28,3,11.0,6.0,2,0,2,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0.36,0.013,0.46,0.01%,0.47,,,9t --- 0 out a4,9t end a 4,,2021-05-01,135,137,634316
9,71,29,2021-05-02,SDP,,SFG,"L,1-7",7-7,,0,1.0,0,0,0,0,1,0,0,4.91,1.26,3,13.0,9.0,3,2,1,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.07,0.006,0.09,0.01%,0.47,,,7t --- 0 out d5,7t 3 out d5,,2021-05-02,135,137,634301
10,72,31,2021-05-04,SDP,,PIT,"L,1-2",7-7,,1,1.0,0,0,0,1,1,0,0,4.32,1.61,3,9.0,4.0,3,0,1,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0.58,0.032,0.66,0.02%,0.47,,,7t --- 0 out d2,7t 3 out d2,,2021-05-04,135,134,634313
11,73,33,2021-05-07,SDP,@,SFG,"L,4-5",7-7,,2,1.0,0,0,0,1,2,0,0,3.86,1.67,5,27.0,17.0,7,2,0,2,0,1,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,1,0.92,0.043,1.28,0.04%,0.5,,,7b --- 0 out d1,7b 3 out d1,,2021-05-07,135,137,634240
12,74,36,2021-05-11,SDP,@,COL,"W,8-1",8-8,,3,1.0,0,0,0,0,1,0,0,3.48,1.62,3,10.0,8.0,2,2,0,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.07,0.005,0.08,0.00%,0.58,,,8b --- 0 out a7,8b 3 out a7,,2021-05-11,135,115,634149
13,75,38,2021-05-12,SDP,@,COL,"L,2-3",5-5,,0,1.0,1,0,0,0,1,0,0,3.18,1.58,4,,,1,1,2,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.68,0.05,0.84,0.04%,0.58,,,5b --- 0 out d1,5b 3 out d1,2.0,2021-05-12,135,115,634155
14,76,40,2021-05-15,SDP,,STL,"W,13-3",7-7,,2,1.0,1,1,1,1,1,1,0,3.65,2.85,5,30.0,19.0,7,2,1,2,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.05,0.001,0.06,0.00%,-0.53,,,7t --- 0 out a8,7t 3 out a7,,2021-05-15,135,138,634143
15,77,43,2021-05-18,SDP,,COL,"W,2-1",10-GF(10),W(1-1),2,1.0,0,0,0,1,3,0,0,3.38,2.65,4,,,2,4,0,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,1,0,0,0,4.56,0.306,5.73,0.23%,1.09,,,10t -2- 0 out tie,10t end tie,,2021-05-18,135,115,634065
16,78,48,2021-05-24,SDP,@,MIL,"L,3-5",4-4,,5,0.1,0,0,0,0,1,0,0,3.29,2.51,1,3.0,3.0,2,1,0,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.35,0.01,0.45,0.01%,0.5,,,4b 1-3 2 out d5,4b 3 out d5,,2021-05-24,135,158,633992
17,79,50,2021-05-26,SDP,@,MIL,"W,2-1",8-8,,1,1.0,1,0,0,0,3,0,0,3.07,2.15,4,23.0,17.0,6,3,0,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,1.51,0.107,1.85,0.08%,0.51,,,8b --- 0 out tie,8b 3 out tie,,2021-05-26,135,158,633927
