Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,345,2021-04-02,CHW,@,LAA,"W,12-8",8-GF,S(1),99,1.1,2.0,2.0,2.0,1.0,2.0,1.0,0,13.5,12.17,7.0,,,3,8,2,2,0,0,0,,2,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.61,0.128,0.57,0.07%,-1.01,,,8b 12- 2 out a1,9b end a 4,,2021-04-02,145,108,634631,2021,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,346,2021-04-07,CHW,@,SEA,"L,4-8",8-GF(8),,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7.71,7.46,3.0,9.0,7.0,0,1,0,2,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.04,0.003,0.04,0.00%,0.5,,,8b --- 0 out d4,8b end d 4,,2021-04-07,145,136,634592,2021,1.0,1.333,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,13.5,2.25,1.333,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,13.5,2.25,1.333,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,13.5,2.25,1.333,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,13.5,2.25,1.333,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,13.5,2.25
3,347,2021-04-11,CHW,,KCR,"L,3-4",9-9,BS(1),3,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0,8.1,8.87,5.0,,,1,4,0,3,1,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,2.17,-0.187,2.37,-0.12%,-0.47,,,9t --- 0 out a1,9t 3 out tie,,2021-04-11,145,118,632170,2021,1.0,2.333,2.0,10.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,7.714,1.286,2.333,2.0,10.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,7.714,1.286,2.333,2.0,10.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,7.714,1.286,2.333,2.0,10.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,7.714,1.286,2.333,2.0,10.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,7.714,1.286
4,348,2021-04-13,CHW,,CLE,"L,0-2",9-9,,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,6.23,6.63,3.0,13.0,9.0,2,0,0,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.85,0.144,2.07,0.10%,0.53,,,9t --- 0 out tie,9t 3 out tie,,2021-04-13,145,114,632199,2021,1.0,3.333,4.0,15.0,2.0,3.0,3.0,1.0,5.0,2.0,10.0,8.1,1.5,3.333,4.0,15.0,2.0,3.0,3.0,1.0,5.0,2.0,10.0,8.1,1.5,3.333,4.0,15.0,2.0,3.0,3.0,1.0,5.0,2.0,10.0,8.1,1.5,3.333,4.0,15.0,2.0,3.0,3.0,1.0,5.0,2.0,10.0,8.1,1.5,3.333,4.0,15.0,2.0,3.0,3.0,1.0,5.0,2.0,10.0,8.1,1.5
5,349,2021-04-18,CHW,@,BOS,"W,3-2",7-GF(7),S(2),4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,5.06,5.61,4.0,16.0,11.0,2,2,2,1,0,1,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,3.01,0.22,2.7,0.12%,0.56,,,7b --- 0 out a1,7b end a 1,1.0,2021-04-18,145,111,634532,2021,1.0,4.333,4.0,18.0,2.0,3.0,3.0,1.0,7.0,2.0,10.0,6.231,1.154,4.333,4.0,18.0,2.0,3.0,3.0,1.0,7.0,2.0,10.0,6.231,1.154,4.333,4.0,18.0,2.0,3.0,3.0,1.0,7.0,2.0,10.0,6.231,1.154,3.0,2.0,11.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,3.0,0.667,4.333,4.0,18.0,2.0,3.0,3.0,1.0,7.0,2.0,10.0,6.231,1.154
6,350,2021-04-18,CHW,@,BOS,"W,5-1",7-GF(7),,-1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.26,4.91,3.0,8.0,6.0,1,2,0,2,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.27,0.022,0.25,0.01%,0.56,,,7b --- 0 out a4,7b end a 4,2.0,2021-04-18,145,111,634518,2021,1.0,5.333,5.0,22.0,2.0,3.0,3.0,1.0,8.0,2.0,11.0,5.062,1.125,5.333,5.0,22.0,2.0,3.0,3.0,1.0,8.0,2.0,11.0,5.062,1.125,5.333,5.0,22.0,2.0,3.0,3.0,1.0,8.0,2.0,11.0,5.062,1.125,3.0,3.0,12.0,1.0,1.0,1.0,0.0,5.0,1.0,6.0,3.0,1.0,5.333,5.0,22.0,2.0,3.0,3.0,1.0,8.0,2.0,11.0,5.062,1.125
7,351,2021-04-20,CHW,@,CLE,"W,8-5",9-GF,S(3),1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.05,4.82,1.0,3.0,2.0,0,0,1,0,0,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.52,0.016,0.58,0.01%,0.24,,,9b 1-- 2 out a3,9b end a 3,,2021-04-20,145,114,634397,2021,0.333,6.333,5.0,25.0,2.0,3.0,3.0,1.0,9.0,2.0,11.0,4.263,0.947,6.333,5.0,25.0,2.0,3.0,3.0,1.0,9.0,2.0,11.0,4.263,0.947,5.0,3.0,18.0,1.0,1.0,1.0,0.0,7.0,1.0,6.0,1.8,0.6,3.0,1.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.333,6.333,5.0,25.0,2.0,3.0,3.0,1.0,9.0,2.0,11.0,4.263,0.947
8,352,2021-04-23,CHW,,TEX,"W,9-7",8-GF,S(4),2,1.2,1.0,1.0,1.0,0.0,5.0,1.0,0,4.32,4.85,6.0,32.0,24.0,7,7,0,1,0,0,0,,2,0,0,0,0,6,0.0,0.0,0.0,0,0,0,1.7,0.189,1.83,0.12%,0.48,,,8t 12- 1 out a2,9t end a 2,,2021-04-23,145,140,634435,2021,1.667,6.667,5.0,26.0,2.0,3.0,3.0,1.0,9.0,2.0,11.0,4.05,0.9,6.667,5.0,26.0,2.0,3.0,3.0,1.0,9.0,2.0,11.0,4.05,0.9,4.333,3.0,16.0,1.0,1.0,1.0,0.0,6.0,1.0,6.0,2.077,0.692,2.333,1.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.429,6.667,5.0,26.0,2.0,3.0,3.0,1.0,9.0,2.0,11.0,4.05,0.9
9,353,2021-04-24,CHW,,TEX,"W,2-1",9-GF,BW(1-0),0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,4.82,5.63,4.0,,,1,2,0,2,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,2.08,-0.187,2.2,-0.12%,-0.47,,,9t --- 0 out a1,9t end tie,,2021-04-24,145,140,634384,2021,1.0,8.333,6.0,32.0,3.0,4.0,4.0,1.0,14.0,3.0,15.0,4.32,0.84,8.333,6.0,32.0,3.0,4.0,4.0,1.0,14.0,3.0,15.0,4.32,0.84,5.0,2.0,17.0,1.0,1.0,1.0,0.0,9.0,1.0,5.0,1.8,0.4,3.0,1.0,10.0,1.0,1.0,1.0,0.0,6.0,1.0,4.0,3.0,0.333,8.333,6.0,32.0,3.0,4.0,4.0,1.0,14.0,3.0,15.0,4.32,0.84
10,354,2021-04-29,CHW,,DET,"W,3-1",7-GF(7),S(5),4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.35,5.2,3.0,12.0,9.0,1,1,1,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.0,0.078,1.22,0.06%,0.53,,,7t --- 0 out a2,7t end a 2,1.0,2021-04-29,145,116,634330,2021,1.0,9.333,7.0,36.0,4.0,5.0,5.0,1.0,16.0,4.0,19.0,4.821,0.857,9.333,7.0,36.0,4.0,5.0,5.0,1.0,16.0,4.0,19.0,4.821,0.857,5.0,3.0,18.0,2.0,2.0,2.0,0.0,9.0,2.0,9.0,3.6,0.6,3.0,2.0,11.0,2.0,2.0,2.0,0.0,7.0,2.0,8.0,6.0,0.667,9.333,7.0,36.0,4.0,5.0,5.0,1.0,16.0,4.0,19.0,4.821,0.857
11,355,2021-05-02,CHW,,CLE,"L,0-5",8-8,,2,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,3.97,4.67,3.0,11.0,8.0,0,5,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.06,0.005,0.08,0.00%,0.53,,,8t --- 0 out d5,8t 3 out d5,,2021-05-02,145,114,634302,2021,1.0,10.333,7.0,39.0,4.0,5.0,5.0,1.0,17.0,4.0,19.0,4.355,0.774,10.333,7.0,39.0,4.0,5.0,5.0,1.0,17.0,4.0,19.0,4.355,0.774,5.0,2.0,17.0,2.0,2.0,2.0,0.0,9.0,2.0,8.0,3.6,0.4,3.667,2.0,13.0,2.0,2.0,2.0,0.0,8.0,2.0,8.0,4.909,0.545,10.333,7.0,39.0,4.0,5.0,5.0,1.0,17.0,4.0,19.0,4.355,0.774
12,356,2021-05-05,CHW,@,CIN,"L,0-1",9-GF(10),L(1-1),2,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0,3.86,4.63,3.0,,,2,3,1,2,2,0,0,,3,0,0,0,0,3,0.0,0.0,0.0,0,0,0,3.66,-0.016,4.19,-0.01%,-0.57,,,9b 123 2 out tie,10b end d 1,,2021-05-05,145,113,634270,2021,0.333,11.333,7.0,42.0,4.0,5.0,5.0,1.0,19.0,4.0,19.0,3.971,0.706,10.0,5.0,35.0,3.0,3.0,3.0,0.0,17.0,3.0,14.0,2.7,0.5,5.0,2.0,17.0,2.0,2.0,2.0,0.0,10.0,2.0,8.0,3.6,0.4,3.0,1.0,10.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,3.0,0.333,11.333,7.0,42.0,4.0,5.0,5.0,1.0,19.0,4.0,19.0,3.971,0.706
13,357,2021-05-07,CHW,@,KCR,"W,3-0",9-GF,S(6),1,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,3.55,4.2,6.0,,,4,6,1,2,1,0,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,2.46,0.046,3.53,0.04%,0.54,,,9b --- 0 out a3,9b end a 3,,2021-05-07,145,118,634235,2021,1.0,11.667,9.0,45.0,4.0,6.0,5.0,1.0,19.0,4.0,21.0,3.857,0.857,9.333,7.0,35.0,3.0,4.0,3.0,0.0,16.0,3.0,16.0,2.893,0.75,5.0,4.0,19.0,2.0,3.0,2.0,0.0,10.0,2.0,10.0,3.6,0.8,2.333,2.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.857,11.667,9.0,45.0,4.0,6.0,5.0,1.0,19.0,4.0,21.0,3.857,0.857
