Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,41,2024-04-17,BAL,,MIN,"W,4-2",GS-6,,99,5.2,3.0,0.0,0.0,0.0,4.0,0.0,1,0.0,2.25,21.0,75,50,8,13,5,11,2,2,0,67.0,,,0,0,0,20,2.0,0.0,0.0,0,0,0,1.03,0.328,1.1,0.21%,2.72,18.35,29.0,1t start tie,6t 1-- 2 out a1,,2024-04-17,110,142,747049,2024,5.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,42,2024-04-22,BAL,@,LAA,"W,4-2",GS-6,W(1-0),4,5.2,4.0,0.0,0.0,2.0,5.0,0.0,0,0.0,2.34,22.0,89,52,9,16,7,8,5,1,0,64.0,,,0,0,0,19,1.0,0.0,0.0,0,0,0,0.96,0.314,1.1,0.22%,2.95,23.15,38.0,1b start tie,6b 1-- 2 out a3,,2024-04-22,110,108,746242,2024,5.667,5.667,3.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.529,5.667,3.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.529,5.667,3.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.529,5.667,3.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.529,5.667,3.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.529
3,43,2024-04-28,BAL,,OAK,"L,6-7",GS-4,,5,4.0,7.0,4.0,4.0,1.0,6.0,1.0,0,2.35,2.8,20.0,83,55,12,14,3,10,5,1,0,37.0,,,0,0,0,19,1.0,0.0,0.0,0,0,0,1.03,-0.247,1.23,-0.18%,-2.04,8.2,18.0,1t start tie,4t 3 out a1,,2024-04-28,110,133,747045,2024,4.0,11.333,7.0,43.0,0.0,0.0,0.0,2.0,9.0,3.0,10.0,0.0,0.794,11.333,7.0,43.0,0.0,0.0,0.0,2.0,9.0,3.0,10.0,0.0,0.794,11.333,7.0,43.0,0.0,0.0,0.0,2.0,9.0,3.0,10.0,0.0,0.794,11.333,7.0,43.0,0.0,0.0,0.0,2.0,9.0,3.0,10.0,0.0,0.794,11.333,7.0,43.0,0.0,0.0,0.0,2.0,9.0,3.0,10.0,0.0,0.794
4,44,2024-05-05,BAL,@,CIN,"W,11-1",7-9,,6,2.1,0.0,0.0,0.0,0.0,1.0,0.0,0,2.04,2.73,7.0,24,18,4,2,2,4,2,1,0,,0.0,0.0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.12,0.022,0.15,0.02%,1.35,7.25,10.0,7b --- 0 out a6,9b --- 1 out a11,,2024-05-05,110,113,746719,2024,2.333,15.333,14.0,63.0,1.0,4.0,4.0,3.0,15.0,5.0,21.0,2.348,1.109,15.333,14.0,63.0,1.0,4.0,4.0,3.0,15.0,5.0,21.0,2.348,1.109,15.333,14.0,63.0,1.0,4.0,4.0,3.0,15.0,5.0,21.0,2.348,1.109,15.333,14.0,63.0,1.0,4.0,4.0,3.0,15.0,5.0,21.0,2.348,1.109,15.333,14.0,63.0,1.0,4.0,4.0,3.0,15.0,5.0,21.0,2.348,1.109
5,45,2024-05-08,BAL,@,WSN,"W,7-6",10-11,W(2-0),2,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0,2.29,2.83,8.0,31,20,2,5,2,4,1,0,0,,0.0,0.0,0,0,0,6,1.0,0.0,0.0,0,1,0,3.85,0.013,4.5,0.01%,0.27,7.3,12.0,10b -2- 0 out tie,11b 3 out tie,,2024-05-08,110,120,744858,2024,2.0,17.667,14.0,70.0,1.0,4.0,4.0,3.0,16.0,5.0,21.0,2.038,0.962,17.667,14.0,70.0,1.0,4.0,4.0,3.0,16.0,5.0,21.0,2.038,0.962,17.667,14.0,70.0,1.0,4.0,4.0,3.0,16.0,5.0,21.0,2.038,0.962,12.0,11.0,49.0,1.0,4.0,4.0,3.0,12.0,3.0,16.0,3.0,1.167,17.667,14.0,70.0,1.0,4.0,4.0,3.0,16.0,5.0,21.0,2.038,0.962
6,46,2024-05-10,BAL,,ARI,"W,4-2",6-6,H(1),1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.25,2.83,2.0,6,3,1,0,0,2,1,0,0,,2.0,1.0,0,0,0,2,0.0,0.0,0.0,0,0,0,2.61,-0.048,3.12,-0.03%,-0.57,0.15,1.0,6t 12- 2 out a2,6t 3 out a1,,2024-05-10,110,109,747043,2024,0.333,19.667,15.0,78.0,1.0,6.0,5.0,4.0,17.0,6.0,23.0,2.288,0.966,19.667,15.0,78.0,1.0,6.0,5.0,4.0,17.0,6.0,23.0,2.288,0.966,19.667,15.0,78.0,1.0,6.0,5.0,4.0,17.0,6.0,23.0,2.288,0.966,8.333,8.0,35.0,1.0,6.0,5.0,2.0,8.0,3.0,13.0,5.4,1.2,19.667,15.0,78.0,1.0,6.0,5.0,4.0,17.0,6.0,23.0,2.288,0.966
7,47,2024-05-12,BAL,,ARI,"L,2-9",7-GF,,1,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0,1.96,2.61,10.0,43,26,6,2,4,3,0,0,0,,0.0,0.0,0,0,0,10,1.0,0.0,0.0,0,0,0,0.02,0.003,0.02,0.00%,1.47,12.15,18.0,7t --- 0 out d7,9t end d 7,,2024-05-12,110,109,747042,2024,3.0,20.0,16.0,80.0,1.0,6.0,5.0,4.0,17.0,6.0,24.0,2.25,1.0,20.0,16.0,80.0,1.0,6.0,5.0,4.0,17.0,6.0,24.0,2.25,1.0,14.333,13.0,59.0,1.0,6.0,5.0,4.0,13.0,4.0,19.0,3.14,1.186,4.667,2.0,17.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,1.929,0.643,20.0,16.0,80.0,1.0,6.0,5.0,4.0,17.0,6.0,24.0,2.25,1.0
8,48,2024-05-18,BAL,,SEA,"L,3-4",7-7,BS(1),5,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0,1.9,2.62,3.0,15,11,1,0,1,2,1,0,0,,1.0,1.0,0,0,0,3,1.0,0.0,0.0,0,0,0,2.26,-0.074,2.66,-0.05%,-0.33,0.9,2.0,7t -2- 1 out a1,7t 3 out tie,,2024-05-18,110,136,747036,2024,0.667,23.0,17.0,90.0,1.0,6.0,5.0,4.0,20.0,7.0,26.0,1.957,0.913,23.0,17.0,90.0,1.0,6.0,5.0,4.0,20.0,7.0,26.0,1.957,0.913,11.667,10.0,47.0,1.0,6.0,5.0,2.0,11.0,4.0,16.0,3.857,1.029,5.333,3.0,20.0,0.0,2.0,1.0,1.0,4.0,2.0,5.0,1.687,0.75,23.0,17.0,90.0,1.0,6.0,5.0,4.0,20.0,7.0,26.0,1.957,0.913
9,49,2024-05-20,BAL,@,STL,"L,3-6",5-5,,1,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,1.82,2.81,5.0,24,10,1,2,2,0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.2,0.008,0.22,0.01%,0.53,3.05,6.0,5b --- 0 out d5,5b 3 out d5,,2024-05-20,110,138,745181,2024,1.0,23.667,18.0,93.0,1.0,6.0,5.0,4.0,20.0,8.0,28.0,1.901,0.93,23.667,18.0,93.0,1.0,6.0,5.0,4.0,20.0,8.0,28.0,1.901,0.93,8.333,4.0,30.0,0.0,2.0,1.0,1.0,5.0,3.0,7.0,1.08,0.6,4.0,3.0,15.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.75,23.667,18.0,93.0,1.0,6.0,5.0,4.0,20.0,8.0,28.0,1.901,0.93
10,50,2024-05-22,BAL,@,STL,"L,4-5",7-7,,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1.78,2.82,2.0,11,7,2,0,1,1,0,0,0,,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.28,0.014,0.34,0.01%,0.28,1.5,2.0,7b --- 1 out d2,7b 3 out d2,,2024-05-22,110,138,745180,2024,0.667,24.667,18.0,98.0,1.0,6.0,5.0,6.0,21.0,8.0,28.0,1.824,0.973,24.667,18.0,98.0,1.0,6.0,5.0,6.0,21.0,8.0,28.0,1.824,0.973,7.0,4.0,28.0,0.0,2.0,1.0,3.0,5.0,3.0,7.0,1.286,1.0,4.667,2.0,18.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,0.857,24.667,18.0,98.0,1.0,6.0,5.0,6.0,21.0,8.0,28.0,1.824,0.973
