Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,307,3,2021-04-03,COL,,LAD,"L,5-6",8-8,L(0-1),99,1.0,2,2,2,2,1,1,0,18.00,20.17,7,,,2,6,0,4,1,2,0,,0,0,1,0,0,5,1,0,1,0,0,0,1.30,-0.313,1.35,-0.20%,-1.42,,,8t --- 0 out tie,8t 3 out d2,,2021-04-03,115,119,634633
2,308,4,2021-04-04,COL,,LAD,"L,2-4",9-GF,,0,1.0,0,0,0,0,1,0,0,9.00,10.67,3,13,9,2,1,0,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,0.023,.30,0.02%,0.58,,,9t --- 0 out d2,9t end d 2,,2021-04-04,115,119,634557
3,309,5,2021-04-06,COL,,ARI,"L,8-10",11-11,,1,1.0,0,0,0,0,2,0,0,6.00,6.84,3,,,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.19,0.322,2.87,0.17%,1.21,,,11t -2- 0 out tie,11t 3 out tie,,2021-04-06,115,109,634619
4,310,9,2021-04-10,COL,@,SFG,"L,3-4",8-GF(8),,3,1.0,0,0,0,0,1,0,0,4.50,5.42,3,7,7,3,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.41,0.031,.38,0.02%,0.50,,,8b --- 0 out d1,8b end d 1,,2021-04-10,115,137,632169
5,311,12,2021-04-14,COL,@,LAD,"L,2-4",7-7,,3,1.0,1,0,0,0,2,0,1,3.60,4.77,5,23,13,6,1,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.20,0.046,.89,0.02%,0.53,,,7b --- 0 out d1,7b 3 out d1,,2021-04-14,115,119,634614
6,312,14,2021-04-17,COL,,NYM,"L,3-4",6-6,H(1),2,1.0,1,1,1,0,1,1,0,4.50,6.34,4,12,9,2,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.60,0.010,.83,0.00%,-0.42,,,6t --- 0 out a2,6t 3 out a1,1.0,2021-04-17,115,121,634485
7,313,16,2021-04-18,COL,,NYM,"L,1-2",8-8,,0,1.0,1,0,0,0,0,0,0,3.86,5.88,4,14,8,2,0,0,4,2,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.35,0.062,.67,0.02%,0.58,,,8t --- 0 out d1,8t 3 out d1,,2021-04-18,115,121,634468
8,314,17,2021-04-20,COL,,HOU,"W,6-2",8-8,H(2),1,1.0,1,0,0,0,0,0,0,3.38,5.55,3,,,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.54,0.084,.69,0.02%,0.58,,,8t --- 0 out a2,8t 3 out a2,,2021-04-20,115,117,634406
9,315,19,2021-04-23,COL,,PHI,"W,5-4",9-GF,W(1-1),2,1.0,1,0,0,0,1,0,0,3.00,5.06,3,12,8,3,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.49,0.153,1.38,0.05%,0.58,,,9t --- 0 out tie,9t end tie,,2021-04-23,115,143,634401
10,316,23,2021-04-27,COL,@,SFG,"W,7-5",8-8,,3,1.0,1,0,0,0,2,0,0,2.70,4.47,4,16,11,4,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.84,0.107,1.13,0.04%,0.50,,,8b --- 0 out tie,8b 3 out tie,,2021-04-27,115,137,634354
11,317,27,2021-05-01,COL,@,ARI,"W,14-6",7-7,H(3),3,0.2,0,0,0,0,0,0,0,2.53,4.39,2,7,4,2,0,0,2,2,0,0,,2,1,1,0,0,1,0,0,0,0,1,0,1.88,0.069,.97,0.02%,0.19,,,7b 1-3 1 out a3,7b 3 out a2,,2021-05-01,115,109,634286
12,318,30,2021-05-04,COL,,SFG,"W,8-6",5-6,,2,1.0,2,2,1,1,2,1,0,3.09,5.31,7,34,20,6,2,2,2,1,0,0,,2,2,0,0,0,6,0,0,0,0,0,1,1.62,-0.304,.74,-0.08%,-2.74,,,5t 12- 1 out tie,6t --- 1 out d4,2.0,2021-05-04,115,137,634254
13,319,33,2021-05-08,COL,@,STL,"L,8-9",8-GF(8),,3,1.0,0,0,0,3,1,0,0,2.84,5.70,6,,,5,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,1,0,0,0,.95,0.029,.48,0.01%,0.48,,,8b --- 0 out d1,8b end d 1,,2021-05-08,115,138,634165
14,320,36,2021-05-12,COL,,SDP,"L,3-5",7-GF(7),,3,1.0,0,0,0,0,2,0,0,2.63,5.22,3,,,3,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,0.023,.10,0.01%,0.58,,,7t --- 0 out d2,7t end d 2,1.0,2021-05-12,115,135,634208
15,321,38,2021-05-13,COL,,CIN,"W,13-8",8-8,,0,0.1,1,1,1,0,1,1,0,3.21,5.96,2,15,9,1,1,0,1,0,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,.51,-0.049,.17,-0.01%,-2.45,,,8t 1-3 2 out a5,8t 3 out a2,,2021-05-13,115,113,634191
16,322,40,2021-05-15,COL,,CIN,"L,5-6",8-8,,1,1.0,1,0,0,0,0,0,0,3.00,5.77,4,,,3,1,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.47,0.116,1.01,0.03%,0.58,,,8t --- 0 out tie,8t 3 out tie,,2021-05-15,115,113,634148
17,323,41,2021-05-16,COL,,CIN,"L,6-7",9-9,BL(1-2),0,0.2,1,2,2,2,0,0,1,4.02,6.23,6,,,3,3,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,5.49,-0.349,1.77,-0.07%,-1.25,,,9t --- 0 out a1,9t 123 2 out tie,,2021-05-16,115,113,634098
18,324,46,2021-05-22,COL,,ARI,"W,7-6",7-7,H(4),5,0.2,1,0,0,2,0,0,0,3.86,6.48,4,18,7,4,0,0,2,2,0,0,,1,0,0,0,0,2,1,0,0,0,0,0,2.21,0.028,.38,0.00%,0.15,,,7t 1-- 0 out a1,7t 123 2 out a1,,2021-05-22,115,109,634010
19,325,53,2021-05-29,COL,@,PIT,"L,0-4",5-5,,6,1.0,0,0,0,0,1,0,0,3.63,6.17,3,12,6,1,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.013,.02,0.00%,0.51,,,5b --- 0 out d3,5b 3 out d3,2.0,2021-05-29,115,134,633936
20,326,55,2021-06-01,COL,,TEX,"W,3-2",11-GF(11),W(2-2),2,1.0,0,0,0,0,1,0,0,3.44,5.90,2,,,2,1,1,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,3.02,0.322,.37,0.02%,1.21,,,11t -2- 0 out tie,11t end tie,,2021-06-01,115,140,633895
21,327,59,2021-06-05,COL,,OAK,"L,3-6",8-8,,3,1.0,0,0,0,0,0,0,0,3.26,5.76,3,,,1,1,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.036,.06,0.00%,0.58,,,8t --- 0 out d2,8t 3 out d2,,2021-06-05,115,133,633850
22,328,60,2021-06-06,COL,,OAK,"W,3-1",7-7,H(5),0,1.0,2,0,0,0,3,0,0,3.10,5.33,5,22,15,6,3,1,1,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,2.38,0.101,.27,0.01%,0.58,,,7t --- 0 out a1,7t 3 out a1,,2021-06-06,115,133,633847
23,329,62,2021-06-09,COL,@,MIA,"W,4-3",7-8,H(6),2,1.1,1,0,0,1,1,0,0,2.91,5.25,5,20,9,3,2,0,3,2,0,0,,2,0,0,1,0,4,0,0,0,0,0,0,2.85,0.236,.31,0.02%,0.95,,,7b 12- 2 out a1,8b 3 out a1,,2021-06-09,115,146,633738
24,330,68,2021-06-15,COL,,SDP,"W,8-4",8-8,H(7),5,1.0,1,0,0,0,2,0,0,2.78,4.98,3,16,10,3,4,0,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,2.06,0.084,.15,0.00%,0.58,,,8t --- 0 out a2,8t 3 out a2,,2021-06-15,115,135,633701
25,331,87,2021-07-07,COL,@,ARI,"L,4-6",8-GF(8),,21,1.0,0,0,0,0,0,0,0,2.66,4.90,3,8,5,2,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.18,0.014,.01,0.00%,0.51,,,8b --- 0 out d2,8b end d 2,,2021-07-07,115,109,633355
26,332,89,2021-07-09,COL,@,SDP,"L,2-4",7-7,,1,1.0,2,1,1,1,1,0,0,2.92,4.87,5,17,8,3,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.95,-0.077,.05,0.00%,-0.53,,,7b --- 0 out d1,7b 3 out d2,,2021-07-09,115,135,633367
27,333,93,2021-07-17,COL,,LAD,"L,2-9",7-7,,7,1.0,2,1,1,0,2,1,0,3.16,5.16,5,19,14,1,2,0,3,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.72,-0.080,.02,0.00%,-0.42,,,7t --- 0 out d1,7t 3 out d2,,2021-07-17,115,119,633261
28,334,94,2021-07-18,COL,,LAD,"W,6-5",10-GF(10),W(3-2),0,1.0,1,1,0,1,3,0,0,3.04,4.97,5,20,11,2,4,0,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,3.93,-0.031,.07,0.00%,0.21,,,10t -2- 0 out tie,10t end d 1,,2021-07-18,115,119,633255
29,335,96,2021-07-21,COL,,SEA,"W,6-3",7-7,H(8),2,1.0,1,0,0,0,1,0,0,2.93,4.83,4,13,9,5,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.70,0.054,.01,0.00%,0.58,,,7t --- 0 out a3,7t 3 out a3,,2021-07-21,115,136,633190
30,336,97,2021-07-23,COL,@,LAD,"W,9-6",8-8,,1,1.0,1,0,0,1,1,0,0,2.83,4.81,5,18,10,2,3,2,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,2.40,0.110,.06,0.00%,0.53,,,8b --- 0 out tie,8b 3 out tie,,2021-07-23,115,119,633173
31,337,98,2021-07-24,COL,@,LAD,"L,0-1",8-GF(8),,0,1.0,0,0,0,0,1,0,0,2.73,4.69,3,9,6,0,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.42,0.033,.01,0.00%,0.53,,,8b --- 0 out d1,8b end d 1,,2021-07-24,115,119,633188
32,338,103,2021-07-29,CIN,@,CHC,"W,7-4",8-8,,4,1.0,0,0,0,0,3,0,0,2.64,4.44,3,11,9,5,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.37,0.028,.37,0.02%,0.51,,,8b --- 0 out a4,8b 3 out a4,,2021-07-29,113,112,633124
33,339,104,2021-07-30,CIN,@,NYM,"W,6-2",8-8,H(9),0,1.0,1,0,0,1,1,0,0,2.56,4.43,5,21,12,1,2,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.49,0.087,2.58,0.05%,0.49,,,8b --- 0 out a2,8b 3 out a2,,2021-07-30,113,121,633100
34,340,106,2021-08-01,CIN,@,NYM,"W,7-1",8-8,H(10),1,1.0,0,0,0,0,0,0,0,2.48,4.39,3,13,10,1,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.66,0.050,.72,0.03%,0.49,,,8b --- 0 out a3,8b 3 out a3,,2021-08-01,113,121,633129
35,341,107,2021-08-03,CIN,,MIN,"L,5-7",8-8,H(11),1,1.0,1,0,0,2,0,0,0,2.41,4.54,5,23,11,3,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,3.70,0.128,3.85,0.08%,0.56,,,8t --- 0 out a1,8t 3 out a1,,2021-08-03,113,142,633045
