Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,28,2021-04-13,ARI,,OAK,"L,5-7",GS-4,,99,4.0,3.0,1.0,1.0,2.0,8.0,1.0,0,2.25,3.92,18.0,82.0,55.0,18,10,3,5,3,0,0,58,,,0,0,0,16,0.0,0.0,0.0,0,0,0,0.98,0.135,0.7,0.06%,1.02,,,1t start tie,4t 3 out a4,,2021-04-13,109,133,632206,2021,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,29,2021-04-20,ARI,@,CIN,"W,5-4",GS-6,,6,5.2,4.0,3.0,3.0,4.0,6.0,0.0,0,3.72,3.48,25.0,,,14,13,7,8,2,1,0,51,,,0,0,0,21,1.0,0.0,0.0,0,0,0,1.14,0.149,0.82,0.07%,1.12,,,1b start a 3,6b 1-- 2 out a1,,2021-04-20,109,113,634408,2021,5.667,4.0,3.0,18.0,1.0,1.0,1.0,2.0,8.0,1.0,6.0,2.25,1.25,4.0,3.0,18.0,1.0,1.0,1.0,2.0,8.0,1.0,6.0,2.25,1.25,4.0,3.0,18.0,1.0,1.0,1.0,2.0,8.0,1.0,6.0,2.25,1.25
3,30,2021-04-25,ARI,@,ATL,"W,5-0",SHO(7),W(1-0),4,7.0,1.0,0.0,0.0,2.0,6.0,0.0,1,2.16,3.17,24.0,83.0,49.0,11,10,5,10,3,4,0,79,,,0,0,0,21,0.0,0.0,0.0,1,0,0,0.66,0.28,0.56,0.14%,3.72,,,1b start tie,7b 3 out a5,1.0,2021-04-25,109,144,634404,2021,7.0,9.667,7.0,43.0,1.0,4.0,4.0,6.0,14.0,2.0,11.0,3.724,1.345,9.667,7.0,43.0,1.0,4.0,4.0,6.0,14.0,2.0,11.0,3.724,1.345,9.667,7.0,43.0,1.0,4.0,4.0,6.0,14.0,2.0,11.0,3.724,1.345
4,31,2021-05-01,ARI,,COL,"L,6-14",GS-4,L(1-1),5,4.0,6.0,4.0,4.0,2.0,7.0,0.0,1,3.48,2.93,22.0,93.0,57.0,17,9,7,5,3,0,0,39,,,0,0,0,19,3.0,0.0,0.0,0,0,1,1.0,-0.276,1.12,-0.18%,-1.98,,,1t start tie,4t 3 out d2,,2021-05-01,109,115,634286,2021,4.0,16.667,8.0,67.0,1.0,4.0,4.0,8.0,20.0,2.0,12.0,2.16,0.96,16.667,8.0,67.0,1.0,4.0,4.0,8.0,20.0,2.0,12.0,2.16,0.96,16.667,8.0,67.0,1.0,4.0,4.0,8.0,20.0,2.0,12.0,2.16,0.96
5,32,2021-05-07,ARI,@,NYM,"L,4-5",GS-6,,5,6.0,4.0,2.0,1.0,4.0,5.0,0.0,0,3.04,3.06,26.0,,,23,6,8,9,4,2,0,59,,,0,0,0,22,0.0,0.0,0.0,0,0,0,0.95,0.149,0.94,0.09%,0.95,,,1b start tie,6b 3 out a2,,2021-05-07,109,121,634252,2021,6.0,20.667,14.0,89.0,1.0,8.0,8.0,10.0,27.0,5.0,21.0,3.484,1.161,20.667,14.0,89.0,1.0,8.0,8.0,10.0,27.0,5.0,21.0,3.484,1.161,20.667,14.0,89.0,1.0,8.0,8.0,10.0,27.0,5.0,21.0,3.484,1.161
6,33,2021-06-17,ARI,@,SFG,"L,3-10",GS-3,L(1-2),40,2.2,4.0,4.0,4.0,1.0,3.0,1.0,1,3.99,3.51,14.0,58.0,35.0,8,7,4,5,3,0,0,36,,,0,0,0,11,1.0,1.0,0.0,0,1,0,0.73,-0.241,0.0,0.00%,-2.6,,,1b start tie,3b --- 2 out d4,,2021-06-17,109,137,633622,2021,2.667,26.667,18.0,115.0,1.0,10.0,9.0,14.0,32.0,5.0,25.0,3.037,1.2,26.667,18.0,115.0,1.0,10.0,9.0,14.0,32.0,5.0,25.0,3.037,1.2,26.667,18.0,115.0,1.0,10.0,9.0,14.0,32.0,5.0,25.0,3.037,1.2
7,34,2021-06-22,ARI,,MIL,"L,0-5",GS-5,L(1-3),4,5.0,3.0,1.0,1.0,0.0,8.0,1.0,0,3.67,3.37,18.0,68.0,44.0,16,9,5,5,2,0,0,65,,,0,0,0,18,0.0,0.0,0.0,0,0,0,0.89,0.144,0.0,0.00%,1.53,,,1t start tie,5t 3 out d1,,2021-06-22,109,158,633603,2021,5.0,29.333,22.0,129.0,2.0,14.0,13.0,15.0,35.0,8.0,35.0,3.989,1.261,25.333,19.0,111.0,1.0,13.0,12.0,13.0,27.0,7.0,29.0,4.263,1.263,29.333,22.0,129.0,2.0,14.0,13.0,15.0,35.0,8.0,35.0,3.989,1.261
8,35,2021-06-27,ARI,@,SDP,"L,4-5",GS-5,,4,4.2,6.0,2.0,2.0,3.0,3.0,1.0,0,3.69,3.76,22.0,84.0,49.0,12,5,7,9,4,3,0,44,,,0,0,0,19,2.0,0.0,0.0,1,0,0,0.85,-0.053,0.0,0.00%,-0.13,,,1b start tie,5b 1-3 2 out d1,,2021-06-27,109,135,633544,2021,4.667,34.333,25.0,147.0,3.0,15.0,14.0,15.0,43.0,9.0,41.0,3.67,1.165,24.667,18.0,104.0,2.0,11.0,10.0,9.0,29.0,7.0,30.0,3.649,1.095,34.333,25.0,147.0,3.0,15.0,14.0,15.0,43.0,9.0,41.0,3.67,1.165
9,36,2021-07-02,ARI,,SFG,"L,4-11",GS-3,L(1-4),4,2.0,5.0,3.0,3.0,3.0,3.0,1.0,0,4.17,4.12,14.0,57.0,34.0,13,7,4,4,3,0,0,34,,,0,0,0,10,0.0,0.0,0.0,0,1,0,1.45,-0.217,0.0,0.00%,-2.37,,,1t start tie,3t 1-- 0 out d3,,2021-07-02,109,137,633470,2021,2.0,39.0,31.0,169.0,4.0,17.0,16.0,18.0,46.0,12.0,52.0,3.692,1.256,22.333,23.0,102.0,3.0,13.0,12.0,10.0,26.0,10.0,40.0,4.836,1.478,39.0,31.0,169.0,4.0,17.0,16.0,18.0,46.0,12.0,52.0,3.692,1.256
10,37,2021-07-17,ARI,,CHC,"L,2-4",GS-6,,14,5.2,3.0,1.0,1.0,2.0,7.0,0.0,1,3.86,3.9,22.0,77.0,44.0,13,8,9,3,2,0,0,64,,,0,1,0,19,1.0,0.0,0.0,0,0,0,1.13,0.168,0.0,0.00%,1.53,,,1t start tie,6t 1-3 2 out a1,,2021-07-17,109,112,633319,2021,5.667,41.0,36.0,183.0,5.0,20.0,19.0,21.0,49.0,13.0,60.0,4.171,1.39,20.333,22.0,94.0,4.0,12.0,11.0,11.0,22.0,8.0,39.0,4.869,1.623,41.0,36.0,183.0,5.0,20.0,19.0,21.0,49.0,13.0,60.0,4.171,1.39
11,38,2021-07-23,ARI,@,CHC,"L,3-8",GS-4,L(1-5),5,4.0,6.0,7.0,7.0,3.0,5.0,2.0,1,4.8,4.39,21.0,84.0,53.0,17,7,6,6,3,0,0,24,,,0,0,0,16,0.0,0.0,0.0,0,0,0,0.57,-0.326,0.0,0.00%,-4.98,,,1b start tie,4b 3 out d7,,2021-07-23,109,112,633170,2021,4.0,46.667,39.0,205.0,5.0,21.0,20.0,23.0,56.0,14.0,64.0,3.857,1.329,20.0,21.0,90.0,4.0,11.0,11.0,9.0,24.0,9.0,39.0,4.95,1.5,46.667,39.0,205.0,5.0,21.0,20.0,23.0,56.0,14.0,64.0,3.857,1.329
12,39,2021-07-30,ARI,,LAD,"W,6-5",GS-6,,6,6.0,5.0,2.0,2.0,1.0,8.0,1.0,0,4.61,4.26,25.0,100.0,64.0,23,7,6,10,2,2,0,61,,,0,0,0,23,0.0,0.0,0.0,0,1,1,1.27,0.132,0.0,0.00%,1.03,,,1t start tie,6t 3 out a1,,2021-07-30,109,119,633102,2021,6.0,50.667,45.0,226.0,7.0,28.0,27.0,26.0,61.0,16.0,76.0,4.796,1.401,21.333,23.0,97.0,5.0,14.0,14.0,11.0,26.0,8.0,41.0,5.906,1.594,50.667,45.0,226.0,7.0,28.0,27.0,26.0,61.0,16.0,76.0,4.796,1.401
13,40,2021-08-04,ARI,,SFG,"L,1-7",GS-6,L(1-6),4,5.2,4.0,3.0,3.0,3.0,6.0,1.0,0,4.62,4.33,24.0,109.0,64.0,15,10,5,10,5,1,0,52,,,0,0,0,21,0.0,0.0,0.0,0,0,0,1.08,-0.063,0.0,0.00%,-0.29,,,1t start tie,6t -2- 2 out d3,,2021-08-04,109,137,633046,2021,5.667,56.667,50.0,251.0,8.0,30.0,29.0,27.0,69.0,17.0,84.0,4.606,1.359,22.333,25.0,104.0,5.0,15.0,15.0,12.0,26.0,8.0,43.0,6.045,1.657,56.667,50.0,251.0,8.0,30.0,29.0,27.0,69.0,17.0,84.0,4.606,1.359
14,41,2021-08-10,ARI,@,SFG,"L,7-8",GS-6,,5,6.0,7.0,5.0,5.0,1.0,7.0,1.0,0,4.87,4.25,26.0,,,21,7,5,13,7,0,0,44,,,0,0,0,25,3.0,0.0,0.0,0,0,0,0.61,-0.193,0.0,0.00%,-1.99,,,1b start tie,6b 3 out tie,,2021-08-10,109,137,632933,2021,6.0,62.333,54.0,275.0,9.0,33.0,32.0,30.0,75.0,18.0,91.0,4.62,1.348,23.333,23.0,106.0,5.0,16.0,16.0,12.0,29.0,6.0,39.0,6.171,1.5,62.333,54.0,275.0,9.0,33.0,32.0,30.0,75.0,18.0,91.0,4.62,1.348
15,42,2021-08-15,ARI,,SDP,"L,2-8",GS-5,L(1-7),4,5.0,8.0,4.0,4.0,3.0,5.0,3.0,0,5.03,4.7,25.0,,,18,10,9,8,4,0,0,37,,,0,0,0,22,3.0,0.0,1.0,1,0,0,1.15,-0.217,0.0,0.00%,-1.47,,,1t start tie,5t 3 out d3,,2021-08-15,109,135,632917,2021,5.0,68.333,61.0,301.0,10.0,38.0,37.0,31.0,82.0,22.0,104.0,4.873,1.346,27.333,25.0,118.0,5.0,18.0,18.0,10.0,33.0,9.0,44.0,5.927,1.28,68.333,61.0,301.0,10.0,38.0,37.0,31.0,82.0,22.0,104.0,4.873,1.346
16,43,2021-08-21,ARI,@,COL,"L,2-5",GS-7,,5,7.0,3.0,0.0,0.0,1.0,9.0,0.0,0,4.59,4.38,24.0,,,19,11,6,8,4,0,0,79,,,0,0,0,23,0.0,0.0,0.0,1,0,1,1.08,0.471,0.0,0.00%,4.05,,,1b start tie,7b 3 out a2,,2021-08-21,109,115,632790,2021,7.0,73.333,69.0,326.0,13.0,42.0,41.0,34.0,87.0,28.0,124.0,5.032,1.405,26.667,30.0,121.0,8.0,21.0,21.0,11.0,31.0,14.0,60.0,7.087,1.537,73.333,69.0,326.0,13.0,42.0,41.0,34.0,87.0,28.0,124.0,5.032,1.405
17,44,2021-08-26,ARI,@,PHI,"W,8-7",GS-5,W(2-7),4,5.0,3.0,2.0,0.0,2.0,6.0,1.0,0,4.32,4.39,21.0,103.0,64.0,13,7,4,9,3,0,0,61,,,0,0,0,19,1.0,1.0,0.0,0,0,1,0.77,0.098,0.0,0.00%,0.53,,,1b start tie,5b 3 out a2,,2021-08-26,109,143,632746,2021,5.0,80.333,72.0,350.0,13.0,42.0,41.0,35.0,96.0,28.0,127.0,4.593,1.332,29.667,27.0,124.0,6.0,14.0,14.0,9.0,35.0,12.0,51.0,4.247,1.213,80.333,72.0,350.0,13.0,42.0,41.0,35.0,96.0,28.0,127.0,4.593,1.332
18,45,2021-08-31,ARI,,SDP,"L,0-3",GS-6,L(2-8),4,6.0,5.0,3.0,3.0,4.0,4.0,1.0,0,4.34,4.49,26.0,94.0,56.0,19,7,8,10,4,1,0,50,,,0,0,0,21,1.0,0.0,0.0,0,0,0,1.13,-0.059,0.0,0.00%,0.03,,,1t start tie,6t 3 out d3,,2021-08-31,109,135,632672,2021,6.0,85.333,75.0,371.0,14.0,44.0,41.0,37.0,102.0,31.0,136.0,4.324,1.312,28.667,25.0,120.0,6.0,14.0,12.0,10.0,33.0,14.0,52.0,3.767,1.221,85.333,75.0,371.0,14.0,44.0,41.0,37.0,102.0,31.0,136.0,4.324,1.312
19,46,2021-09-07,ARI,,TEX,"L,1-3",GS-7,L(2-9),6,6.2,6.0,3.0,3.0,0.0,8.0,0.0,0,4.32,4.24,28.0,108.0,75.0,20,10,12,8,3,0,0,58,,,1,0,0,28,1.0,0.0,0.0,0,0,2,0.94,-0.085,0.0,0.00%,0.04,,,1t start tie,7t 1-3 2 out d2,,2021-09-07,109,140,632595,2021,6.667,91.333,80.0,397.0,15.0,47.0,44.0,41.0,106.0,33.0,145.0,4.336,1.325,29.0,26.0,122.0,6.0,14.0,12.0,11.0,31.0,15.0,54.0,3.724,1.276,91.333,80.0,397.0,15.0,47.0,44.0,41.0,106.0,33.0,145.0,4.336,1.325
20,47,2021-09-13,ARI,@,LAD,"L,1-5",GS-6,L(2-10),5,5.1,8.0,4.0,4.0,3.0,4.0,0.0,0,4.44,4.2,26.0,101.0,64.0,15,6,9,10,4,1,0,37,,,0,0,0,22,3.0,0.0,0.0,0,0,0,0.84,-0.177,0.0,0.00%,-1.54,,,1b start a 1,6b -2- 1 out d3,,2021-09-13,109,119,632509,2021,5.333,98.0,86.0,425.0,15.0,50.0,47.0,41.0,114.0,34.0,152.0,4.316,1.296,29.667,25.0,124.0,5.0,12.0,10.0,10.0,32.0,12.0,48.0,3.034,1.18,98.0,86.0,425.0,15.0,50.0,47.0,41.0,114.0,34.0,152.0,4.316,1.296
