Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1496,2021-04-01,KCR,,TEX,"W,14-10",CG,6.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.667,0.333,1.0,3,1.12,0.196,1.07,0.11%,2.37,0.0,0.0,1B,,2021-04-01,118,140,634630,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,1497,2021-04-03,KCR,,TEX,"W,11-4",CG,5.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.545,0.429,0.974,3,0.58,0.074,0.57,0.04%,1.65,0.0,0.0,1B,,2021-04-03,118,140,634604,2021,0.333,0.667,0.333,1.0,0.0,0.0,0.0,1.0,0.0,0.333,0.667,0.333,1.0,0.0,0.0,0.0,1.0,0.0,0.333,0.667,0.333,1.0,0.0,0.0,0.0,1.0,0.0
3,1498,2021-04-04,KCR,,TEX,"L,3-7",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.533,0.455,0.988,3,0.57,-0.026,0.6,-0.02%,-0.45,0.0,0.0,1B,,2021-04-04,118,140,634593,2021,0.286,0.545,0.571,1.117,0.0,0.0,1.0,3.0,2.0,0.286,0.545,0.571,1.117,0.0,0.0,1.0,3.0,2.0,0.286,0.545,0.571,1.117,0.0,0.0,1.0,3.0,2.0
4,1499,2021-04-05,KCR,@,CLE,"W,3-0",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.421,0.333,0.754,3,0.64,-0.072,0.71,-0.05%,-0.95,0.0,0.0,1B,,2021-04-05,118,114,634616,2021,0.364,0.533,0.545,1.079,0.0,0.0,1.0,5.0,4.0,0.364,0.533,0.545,1.079,0.0,0.0,1.0,5.0,4.0,0.364,0.533,0.545,1.079,0.0,0.0,1.0,5.0,4.0
5,1500,2021-04-07,KCR,@,CLE,"L,2-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.348,0.263,0.611,3,1.23,-0.127,1.33,-0.08%,-1.03,0.0,0.0,1B,,2021-04-07,118,114,634589,2021,0.267,0.421,0.4,0.821,0.0,0.0,1.0,5.0,4.0,0.267,0.421,0.4,0.821,0.0,0.0,1.0,5.0,4.0,0.267,0.421,0.4,0.821,0.0,0.0,1.0,5.0,4.0
6,1501,2021-04-08,KCR,@,CHW,"L,0-6",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.296,0.217,0.514,3,0.31,-0.034,0.36,-0.02%,-0.71,0.0,0.0,1B,,2021-04-08,118,145,634565,2021,0.211,0.348,0.316,0.664,0.0,0.0,1.0,5.0,5.0,0.211,0.348,0.316,0.664,0.0,0.0,1.0,5.0,5.0,0.211,0.348,0.316,0.664,0.0,0.0,1.0,5.0,5.0
7,1502,2021-04-11,KCR,@,CHW,"W,4-3",CG(10),5.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.313,0.333,0.646,4,1.7,0.202,1.89,0.14%,0.09,0.0,0.0,1B,,2021-04-11,118,145,632170,2021,0.174,0.296,0.261,0.557,0.0,0.0,1.0,5.0,6.0,0.15,0.19,0.25,0.44,0.0,0.0,1.0,4.0,6.0,0.174,0.296,0.261,0.557,0.0,0.0,1.0,5.0,6.0
8,1503,2021-04-12,KCR,,LAA,"L,3-10",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.306,0.3,0.606,4,1.47,-0.029,1.56,-0.02%,-0.17,0.0,0.0,1B,,2021-04-12,118,108,632197,2021,0.185,0.312,0.407,0.72,0.0,0.0,2.0,9.0,7.0,0.15,0.19,0.35,0.54,0.0,0.0,1.0,6.0,5.0,0.185,0.312,0.407,0.72,0.0,0.0,2.0,9.0,7.0
9,1504,2021-04-13,KCR,,LAA,"W,3-2",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.152,0.275,0.273,0.548,4,0.91,-0.015,0.86,-0.01%,-0.49,0.0,0.0,1B,,2021-04-13,118,108,632210,2021,0.167,0.306,0.367,0.672,0.0,0.0,2.0,9.0,8.0,0.053,0.143,0.263,0.406,0.0,0.0,1.0,4.0,4.0,0.167,0.306,0.367,0.672,0.0,0.0,2.0,9.0,8.0
10,1505,2021-04-14,KCR,,LAA,"W,6-1",CG,4.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.318,0.371,0.69,4,0.84,0.089,0.84,0.05%,1.86,0.0,0.0,1B,,2021-04-14,118,108,634495,2021,0.152,0.275,0.333,0.608,0.0,0.0,2.0,9.0,8.0,0.056,0.143,0.278,0.421,0.0,0.0,1.0,4.0,4.0,0.152,0.275,0.333,0.608,0.0,0.0,2.0,9.0,8.0
