Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,539,1,2021-04-01,MIL,,MIN,"W,6-5",6-GF(10),2,2,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,8,1.27,0.055,1.15,0.03%,0.54,,,SS,,2021-04-01,158,142,634638
2,540,2,2021-04-03,MIL,,MIN,"L,0-2",GS-8,2,2,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,8,1.02,-0.052,1.01,-0.03%,-0.4,,,3B SS,,2021-04-03,158,142,634575
3,541,3,2021-04-04,MIL,,MIN,"L,2-8",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,8,0.94,-0.098,0.86,-0.05%,-1.06,,,3B,,2021-04-04,158,142,634597
4,542,4,2021-04-05,MIL,@,CHC,"L,3-5",CG,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.091,0.091,0.091,0.182,8,0.9,-0.02,0.94,-0.01%,-0.4,,,3B,,2021-04-05,158,112,634566
5,543,83,2021-07-04,ATL,,MIA,"W,8-7",CG(10),5,4,1,2,0,0,0,1,1,1.0,0,0,0,0.0,0,0.0,0,0,0.2,0.25,0.2,0.45,7,2.06,0.099,1.85,0.05%,1.48,,,LF,,2021-07-04,144,146,633423
6,544,84,2021-07-05,ATL,@,PIT,"L,1-11",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.158,0.2,0.158,0.358,7,1.0,-0.101,0.89,-0.05%,-1.96,,,LF,,2021-07-05,144,134,633411
7,545,85,2021-07-06,ATL,@,PIT,"L,1-2",CG,3,3,1,2,0,0,1,1,0,0.0,1,0,0,0.0,0,0.0,1,0,0.227,0.261,0.364,0.625,7,1.09,0.152,0.87,0.07%,1.25,,,LF,,2021-07-06,144,134,633384
8,546,86,2021-07-07,ATL,@,PIT,"W,14-3",GS-6,4,4,0,1,0,0,0,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.231,0.259,0.346,0.605,5,1.62,0.003,1.19,0.00%,0.67,,,LF,,2021-07-07,144,134,633330
9,547,87,2021-07-09,ATL,@,MIA,"W,5-0",8-8,1,1,0,1,1,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.259,0.286,0.407,0.693,9,0.39,0.037,0.35,0.02%,1.0,,,PH,,2021-07-09,144,146,633336
10,548,88,2021-07-10,ATL,@,MIA,"W,5-4",GS-8,4,4,1,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.258,0.281,0.387,0.668,5,0.82,0.042,0.76,0.02%,0.14,,,LF,,2021-07-10,144,146,633312
11,549,89,2021-07-11,ATL,@,MIA,"L,4-7",CG,4,4,0,1,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.257,0.278,0.371,0.649,5,0.57,0.039,0.62,0.03%,0.35,,,LF,,2021-07-11,144,146,633324
12,550,90,2021-07-16,ATL,,TBR,"L,6-7",CG(10),5,4,0,1,0,0,0,1,1,0.0,1,0,0,0.0,0,0.0,0,0,0.256,0.293,0.359,0.652,5,1.75,-0.074,1.69,-0.04%,0.38,,,LF,,2021-07-16,144,139,633265
13,551,91,2021-07-17,ATL,,TBR,"W,9-0",CG,4,3,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.238,0.289,0.333,0.622,6,0.23,-0.023,0.22,-0.01%,-0.32,,,LF,,2021-07-17,144,139,633303
14,552,92,2021-07-18,ATL,,TBR,"L,5-7",CG,5,5,1,0,0,0,0,0,0,0.0,3,0,0,0.0,0,1.0,0,0,0.213,0.26,0.298,0.558,6,1.63,-0.265,1.61,-0.16%,-2.6,,,LF,,2021-07-18,144,139,633237
15,553,94 (1),2021-07-21,ATL,,SDP,"L,2-3",CG(7),3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,0,0,0.2,0.245,0.28,0.525,7,1.88,-0.071,1.85,-0.04%,-0.1,,,LF,1.0,2021-07-21,144,135,633250
17,555,96,2021-07-22,ATL,@,PHI,"W,7-2",CG,4,4,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.218,0.254,0.345,0.6,7,0.29,0.006,0.31,0.00%,0.15,,,LF,,2021-07-22,144,143,633276
18,556,97,2021-07-23,ATL,@,PHI,"L,1-5",9-GF,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.218,0.267,0.345,0.612,9,0.29,0.009,0.34,0.01%,0.26,,,PH,,2021-07-23,144,143,633214
19,557,98,2021-07-24,ATL,@,PHI,"W,15-3",9-9,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.214,0.262,0.339,0.602,3,0.0,0.0,0.0,0.00%,-0.16,,,PH,,2021-07-24,144,143,633202
20,558,100 (1),2021-07-26,ATL,@,NYM,"W,2-0",GS-6,3,3,0,0,0,0,0,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.203,0.25,0.322,0.572,7,0.77,-0.034,1.0,-0.03%,-0.58,,,LF,1.0,2021-07-26,144,121,633145
21,559,102 (1),2021-07-27,ATL,@,NYM,"W,12-5",9-9,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.2,0.246,0.317,0.563,9,0.0,0.0,0.0,0.00%,-0.23,,,PH,,2021-07-27,144,121,633147
22,560,105 (2),2021-07-30,ATL,,MIL,"L,5-9",6-7,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.197,0.242,0.311,0.554,9,0.73,-0.019,0.75,-0.01%,-0.17,,,PH,,2021-07-30,144,158,633131
23,561,133 (27),2021-09-01,ATL,@,LAD,"L,3-4",8-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.194,0.239,0.306,0.545,1,1.86,-0.048,3.39,-0.05%,-0.25,,,PH LF,,2021-09-01,144,119,632656
24,562,134,2021-09-02,ATL,@,COL,"W,6-5",6-6,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.19,0.235,0.302,0.537,9,1.03,-0.027,1.96,-0.03%,-0.27,,,PH,,2021-09-02,144,115,632695
25,563,137 (2),2021-09-05,ATL,@,COL,"W,9-2",8-8,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.188,0.232,0.297,0.529,9,0.02,-0.001,0.04,0.00%,-0.26,,,PH,,2021-09-05,144,115,632606
26,564,138,2021-09-07,ATL,,WSN,"W,8-5",8-9,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.185,0.229,0.292,0.521,8,0.38,-0.004,0.83,-0.01%,-0.22,,,PH,,2021-09-07,144,120,632583
27,565,140 (1),2021-09-09,ATL,,WSN,"W,7-6",9-10,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.182,0.225,0.288,0.513,9,1.85,-0.047,3.96,-0.06%,-0.17,,,PH,,2021-09-09,144,120,632570
28,566,141,2021-09-10,ATL,,MIA,"W,6-2",CG,4,3,1,1,0,0,0,1,1,0.0,1,0,0,0.0,0,0.0,0,0,0.188,0.24,0.29,0.53,7,0.73,0.022,1.33,0.02%,1.03,,,SS,,2021-09-10,144,146,632571
29,567,145 (3),2021-09-15,ATL,,COL,"L,2-3",9-10,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.186,0.237,0.286,0.523,9,1.85,-0.047,2.39,-0.04%,-0.17,,,PH,,2021-09-15,144,115,632465
30,568,146,2021-09-17,ATL,@,SFG,"L,5-6",10-10,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.183,0.234,0.282,0.515,2,3.42,-0.092,5.47,-0.09%,-0.36,,,PH,,2021-09-17,144,137,632453
31,569,147,2021-09-18,ATL,@,SFG,"L,0-2",7-7,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.181,0.231,0.278,0.509,9,1.15,-0.033,2.23,-0.04%,-0.23,,,PH,,2021-09-18,144,137,632442
32,570,154 (6),2021-09-25,ATL,@,SDP,"W,10-8",10-10,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.181,0.241,0.278,0.518,9,3.42,0.036,8.56,0.05%,0.22,,,PH,,2021-09-25,144,135,632343
33,571,155,2021-09-26,ATL,@,SDP,"W,4-3",6-6,1,1,0,1,1,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.192,0.25,0.301,0.551,9,1.78,0.225,4.53,0.34%,1.42,,,PH,,2021-09-26,144,135,632325
34,572,159 (3),2021-10-01,ATL,,NYM,"L,3-4",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.182,0.238,0.286,0.524,6,2.21,-0.252,0.0,0.00%,-1.23,,,SS,,2021-10-01,144,121,632277
35,573,160,2021-10-02,ATL,,NYM,"W,6-5",CG,4,3,2,2,1,0,0,1,1,0.0,1,0,0,0.0,0,0.0,0,0,0.2,0.261,0.313,0.574,2,0.4,0.037,0.0,0.00%,1.39,,,2B,,2021-10-02,144,121,632262
36,574,161,2021-10-03,ATL,,NYM,"W,5-0",7-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.198,0.258,0.309,0.567,2,0.04,-0.001,0.0,0.00%,-0.11,,,SS,,2021-10-03,144,121,632254
1,575,2 (1),2022-04-08,ATL,,CIN,"W,7-6",CG,4,3,0,1,0,0,0,2,0,0.0,1,0,0,1.0,0,0.0,0,0,0.333,0.25,0.333,0.583,9,0.54,0.005,0.5,0.00%,0.57,7.0,10.0,DH,,2022-04-08,144,113,661576
2,576,5 (2),2022-04-11,ATL,,WSN,"L,2-11",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.167,0.143,0.167,0.31,9,0.45,-0.037,0.44,-0.02%,-0.64,0.0,0.0,DH,,2022-04-11,144,120,661572
3,577,6,2022-04-12,ATL,,WSN,"W,16-4",CG,5,4,1,2,0,0,0,2,1,0.0,1,0,0,0.0,0,0.0,0,0,0.3,0.333,0.3,0.633,9,0.43,-0.035,0.4,-0.02%,0.99,14.0,19.2,DH,,2022-04-12,144,120,661571
4,578,9 (2),2022-04-15,ATL,@,SDP,"W,5-2",CG,4,3,0,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.308,0.375,0.308,0.683,8,0.81,-0.01,0.69,-0.01%,-0.08,5.0,6.0,LF,,2022-04-15,144,135,662236
5,579,12 (2),2022-04-18,ATL,@,LAD,"L,4-7",GS-6,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.267,0.333,0.267,0.6,7,0.3,-0.016,0.27,-0.01%,-0.27,0.0,0.0,LF,,2022-04-18,144,119,662617
6,580,13,2022-04-19,ATL,@,LAD,"W,3-1",GS-8,4,4,0,3,2,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.368,0.409,0.474,0.883,8,0.52,0.119,0.44,0.06%,1.08,15.0,18.5,LF,,2022-04-19,144,119,662717
7,581,14,2022-04-20,ATL,@,LAD,"L,1-5",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1.0,0,0,0.333,0.4,0.429,0.829,6,0.76,-0.059,0.66,-0.03%,-0.3,2.0,3.0,3B,,2022-04-20,144,119,662734
8,582,15,2022-04-22,ATL,,MIA,"W,3-0",CG,4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.292,0.379,0.375,0.754,6,0.66,-0.033,0.57,-0.02%,-0.41,2.0,3.0,LF,,2022-04-22,144,146,661569
9,583,17 (1),2022-04-24,ATL,,MIA,"L,4-5",GS-8,3,2,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.269,0.375,0.346,0.721,6,0.9,-0.038,0.78,-0.02%,-0.37,2.0,3.0,LF,,2022-04-24,144,146,661590
10,584,25 (7),2022-05-03,ATL,@,NYM,"L,4-5",9-GF,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.296,0.394,0.37,0.764,9,1.37,0.042,1.21,0.02%,0.12,3.0,3.0,PH,1.0,2022-05-03,144,121,662569
11,585,32 (6),2022-05-11,ATL,,BOS,"W,5-3",CG,4,4,2,3,0,0,1,2,0,0.0,0,0,0,0.0,0,0.0,0,0,0.355,0.432,0.516,0.949,8,1.43,0.402,1.05,0.18%,2.03,24.0,31.4,DH,,2022-05-11,144,111,661548
12,586,35 (2),2022-05-15,ATL,,SDP,"L,3-7",GS-10,4,4,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.343,0.415,0.486,0.9,9,1.24,-0.21,1.03,-0.10%,-0.75,3.0,3.0,DH,,2022-05-15,144,135,661545
13,587,36,2022-05-16,ATL,@,MIL,"L,0-1",CG,3,3,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.316,0.386,0.447,0.834,9,0.86,-0.066,0.67,-0.03%,-0.44,0.0,0.0,DH,,2022-05-16,144,158,661212
14,588,44 (7),2022-05-25,ATL,,PHI,"W,8-4",CG,4,3,1,2,2,0,0,1,1,0.0,0,0,0,0.0,0,1.0,0,0,0.341,0.417,0.512,0.929,8,0.95,0.049,0.72,0.02%,0.79,16.0,21.7,DH,,2022-05-25,144,143,661542
15,589,45,2022-05-26,ATL,,PHI,"L,1-4",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.318,0.392,0.477,0.869,8,1.16,-0.089,0.9,-0.04%,-0.79,0.0,0.0,LF,,2022-05-26,144,143,661574
16,590,53 (7),2022-06-03,ATL,@,COL,"W,3-1",GS-9,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.298,0.37,0.447,0.817,7,0.87,-0.068,0.66,-0.03%,-0.55,0.0,0.0,2B,,2022-06-03,144,115,662980
17,591,62 (8),2022-06-13,ATL,@,WSN,"W,9-5",5-GF,2,1,0,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.313,0.393,0.458,0.851,5,0.14,0.01,0.15,0.01%,0.45,5.0,6.0,2B,,2022-06-13,144,120,662505
18,592,63,2022-06-14,ATL,@,WSN,"W,10-4",CG,5,4,2,2,0,0,1,2,0,0.0,0,0,0,1.0,0,0.0,0,0,0.327,0.393,0.519,0.913,8,0.46,0.032,0.53,0.02%,0.36,21.0,28.4,2B,,2022-06-14,144,120,662503
19,593,64,2022-06-15,ATL,@,WSN,"W,8-2",CG,5,4,1,4,0,0,1,2,1,0.0,0,0,0,0.0,0,0.0,0,0,0.375,0.439,0.607,1.047,8,0.82,0.193,0.95,0.14%,2.79,27.0,34.2,2B,,2022-06-15,144,120,662504
20,594,65,2022-06-17,ATL,@,CHC,"L,0-1",CG,4,4,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.367,0.429,0.6,1.029,8,3.38,-0.301,3.77,-0.20%,-1.23,5.0,6.0,2B,,2022-06-17,144,112,663124
21,595,66,2022-06-18,ATL,@,CHC,"L,3-6",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.344,0.405,0.563,0.968,8,0.86,-0.087,0.96,-0.06%,-1.16,0.0,0.0,2B,,2022-06-18,144,112,663239
22,596,68 (1),2022-06-20,ATL,,SFG,"W,2-1",CG,4,4,0,1,0,0,0,1,0,0.0,0,0,0,0.0,0,1.0,0,0,0.338,0.397,0.544,0.942,8,1.62,0.315,2.01,0.24%,0.19,5.0,6.5,2B,,2022-06-20,144,137,661143
23,597,69,2022-06-21,ATL,,SFG,"L,10-12",CG,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.333,0.39,0.528,0.918,8,1.04,-0.036,1.29,-0.03%,-0.45,3.0,3.0,2B,,2022-06-21,144,137,661142
24,598,70,2022-06-22,ATL,,SFG,"W,4-3",CG,4,4,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.329,0.384,0.513,0.897,6,1.97,-0.178,2.42,-0.13%,-0.77,3.0,3.0,2B 3B,,2022-06-22,144,137,661141
25,599,71,2022-06-23,ATL,,SFG,"W,7-6",CG,4,3,1,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.329,0.389,0.506,0.895,6,0.37,0.036,0.48,0.03%,0.29,7.0,9.2,3B,,2022-06-23,144,137,661140
26,600,72,2022-06-24,ATL,,LAD,"L,1-4",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0,0,0.317,0.376,0.488,0.864,8,0.58,0.026,0.72,0.02%,0.17,0.0,0.0,2B,,2022-06-24,144,119,661139
27,601,73,2022-06-25,ATL,,LAD,"W,5-3",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,0,0,0.302,0.361,0.465,0.826,7,0.6,-0.03,0.7,-0.02%,-0.64,0.0,0.0,2B,,2022-06-25,144,119,661138
28,602,74,2022-06-26,ATL,,LAD,"L,3-5",CG(11),5,4,0,0,0,0,0,0,0,0.0,2,1,0,0.0,0,0.0,0,0,0.289,0.353,0.444,0.797,6,1.55,-0.148,1.88,-0.11%,-1.07,2.0,3.0,2B,,2022-06-26,144,119,661512
29,603,75,2022-06-28,ATL,@,PHI,"W,5-3",CG,4,4,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.287,0.349,0.436,0.785,7,0.64,-0.034,0.83,-0.03%,-0.29,5.0,6.2,2B,,2022-06-28,144,143,661580
30,604,77 (1),2022-06-30,ATL,@,PHI,"L,4-14",CG,4,4,0,0,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.276,0.336,0.418,0.755,8,0.7,0.002,0.96,0.00%,-0.73,2.0,3.5,2B SS,,2022-06-30,144,143,661579
31,605,78,2022-07-01,ATL,@,CIN,"W,9-1",CG,4,4,0,1,0,0,0,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.275,0.333,0.412,0.745,8,0.53,-0.045,0.63,-0.03%,0.59,7.0,10.0,2B,,2022-07-01,144,113,663038
32,606,79,2022-07-02,ATL,@,CIN,"W,4-1",CG,4,2,0,0,0,0,0,0,2,0.0,1,0,0,0.0,0,0.0,0,0,0.269,0.339,0.404,0.743,8,1.0,-0.067,1.2,-0.05%,-0.63,4.0,6.0,2B,,2022-07-02,144,113,663037
33,607,80,2022-07-03,ATL,@,CIN,"L,3-4",GS-9,3,3,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.262,0.331,0.393,0.723,8,0.76,-0.062,0.92,-0.04%,-0.6,0.0,0.0,2B,,2022-07-03,144,113,663052
34,608,83 (2),2022-07-06,ATL,,STL,"W,3-0",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.255,0.323,0.382,0.704,8,0.58,-0.044,0.75,-0.03%,-0.65,0.0,0.0,2B,,2022-07-06,144,138,661509
35,609,84,2022-07-07,ATL,,STL,"L,2-3",GS-9,4,3,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.248,0.32,0.372,0.692,8,1.8,-0.108,2.18,-0.08%,-1.11,2.0,3.0,2B,,2022-07-07,144,138,661521
36,610,85,2022-07-08,ATL,,WSN,"W,12-2",CG,4,3,2,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.326,0.371,0.696,8,0.44,0.021,0.5,0.01%,0.56,9.0,12.4,2B,,2022-07-08,144,120,661522
37,611,86,2022-07-09,ATL,,WSN,"W,4-3",CG,3,3,0,1,0,0,0,1,0,0.0,1,0,0,0.0,0,1.0,0,0,0.252,0.326,0.37,0.696,8,0.81,-0.011,0.91,-0.01%,-0.17,5.0,6.5,2B,,2022-07-09,144,120,661508
38,612,87,2022-07-10,ATL,,WSN,"W,4-3",GS-11,4,3,0,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.254,0.331,0.369,0.7,8,1.34,-0.007,1.5,-0.01%,-0.12,5.0,6.0,2B,,2022-07-10,144,120,661520
39,613,89 (1),2022-07-12,ATL,,NYM,"W,4-1",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.248,0.324,0.36,0.684,8,0.54,-0.041,0.83,-0.04%,-0.51,0.0,0.0,2B,,2022-07-12,144,121,661506
40,614,91 (1),2022-07-14,ATL,@,WSN,"W,5-4",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.248,0.324,0.36,0.684,8,,,,,,0.0,0.0,2B,,2022-07-14,144,120,662518
41,615,92,2022-07-15,ATL,@,WSN,"W,8-4",CG,4,4,2,2,0,0,1,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.256,0.329,0.388,0.716,8,0.27,0.036,0.28,0.02%,0.94,19.0,24.9,2B,,2022-07-15,144,120,662516
42,616,93,2022-07-16,ATL,@,WSN,"W,6-3",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.256,0.329,0.388,0.716,8,,,,,,0.0,0.0,2B,,2022-07-16,144,120,662483
43,617,95 (1),2022-07-22,ATL,,LAA,"W,8-1",3-GF,4,4,1,1,0,0,1,3,0,0.0,2,0,0,0.0,0,0.0,0,0,0.256,0.327,0.406,0.733,8,0.69,-0.017,0.71,-0.01%,1.76,18.0,25.7,PH 2B,,2022-07-22,144,108,661504
44,618,96,2022-07-23,ATL,,LAA,"W,7-2",CG,4,2,0,0,0,0,0,0,2,0.0,1,0,0,0.0,0,1.0,0,0,0.252,0.331,0.4,0.731,8,0.41,-0.005,0.41,0.00%,-0.1,4.0,6.0,2B,,2022-07-23,144,108,661503
45,619,97,2022-07-24,ATL,,LAA,"L,1-9",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.245,0.323,0.388,0.711,7,0.25,-0.026,0.25,-0.02%,-1.86,0.0,0.0,2B,,2022-07-24,144,108,661502
46,620,98,2022-07-25,ATL,@,PHI,"L,4-6",GS-9,3,2,1,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.241,0.323,0.383,0.706,8,1.19,0.063,1.35,0.04%,0.76,4.0,6.2,2B,,2022-07-25,144,143,661555
47,621,99,2022-07-26,ATL,@,PHI,"W,6-3",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.241,0.323,0.383,0.706,8,,,,,,0.0,0.0,2B,,2022-07-26,144,143,661563
48,622,101 (1),2022-07-29,ATL,,ARI,"W,5-2",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.236,0.317,0.375,0.692,8,0.55,-0.056,0.55,-0.03%,-1.27,0.0,0.0,2B,,2022-07-29,144,109,661501
49,623,102,2022-07-30,ATL,,ARI,"W,6-2",CG,4,4,0,2,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.243,0.321,0.378,0.7,8,0.18,0.003,0.18,0.00%,0.4,8.0,9.5,2B,,2022-07-30,144,109,661499
50,624,103,2022-07-31,ATL,,ARI,"W,1-0",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.238,0.316,0.371,0.687,8,1.13,-0.087,1.03,-0.05%,-0.59,0.0,0.0,2B,,2022-07-31,144,109,661498
51,625,104,2022-08-02,ATL,,PHI,"W,13-1",CG,4,4,1,1,0,0,1,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.239,0.314,0.387,0.701,8,0.78,-0.058,0.75,-0.03%,0.74,16.0,22.2,2B,,2022-08-02,144,143,661496
52,626,105,2022-08-03,ATL,,PHI,"L,1-3",CG,3,3,1,2,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.247,0.32,0.411,0.732,8,1.1,0.151,1.09,0.09%,1.15,17.0,21.7,2B,,2022-08-03,144,143,661500
53,627,106,2022-08-04,ATL,@,NYM,"L,4-6",CG,4,4,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.247,0.319,0.407,0.726,8,0.9,-0.072,1.19,-0.06%,-0.76,5.0,6.2,2B,,2022-08-04,144,121,662419
54,628,107,2022-08-05,ATL,@,NYM,"W,9-6",CG,5,4,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0,0,0.241,0.316,0.398,0.713,8,0.22,-0.021,0.28,-0.02%,-0.51,2.0,3.0,2B,,2022-08-05,144,121,662418
55,629,108,2022-08-06,ATL,@,NYM,"L,5-8",GS-9,4,3,1,1,1,0,0,0,1,0.0,0,0,0,0.0,0,1.0,0,0,0.243,0.319,0.402,0.722,8,0.75,-0.065,1.02,-0.05%,-0.57,9.0,12.2,2B,1.0,2022-08-06,144,121,662499
56,630,111 (2),2022-08-09,ATL,@,BOS,"W,9-7",GS-10,5,4,1,1,1,0,0,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.243,0.321,0.405,0.726,8,1.45,0.114,1.1,0.05%,-0.04,11.0,15.7,2B,,2022-08-09,144,111,663201
57,631,152 (40),2022-09-24,ATL,@,PHI,"W,6-3",GS-8,4,4,1,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.243,0.32,0.401,0.721,8,0.43,-0.009,0.34,0.00%,-0.39,5.0,6.2,3B,,2022-09-24,144,143,661586
58,632,153,2022-09-25,ATL,@,PHI,"W,8-7",8-GF(11),1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.242,0.318,0.399,0.717,9,1.65,-0.045,1.79,-0.03%,-0.29,0.0,0.0,2B,,2022-09-25,144,143,661585
59,633,154,2022-09-26,ATL,@,WSN,"W,8-0",CG,4,4,1,1,0,0,1,2,0,0.0,0,0,0,0.0,0,0.0,0,0,0.242,0.317,0.412,0.729,9,0.32,-0.012,0.35,-0.01%,1.19,16.0,22.2,2B,,2022-09-26,144,120,662460
60,634,155,2022-09-27,ATL,@,WSN,"W,8-2",CG,4,4,1,1,0,0,1,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.242,0.316,0.425,0.741,9,0.3,0.143,0.39,0.11%,0.26,14.0,18.7,2B,,2022-09-27,144,120,662489
61,635,156,2022-09-28,ATL,@,WSN,"L,2-3",CG(10),4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.238,0.315,0.418,0.733,8,1.59,-0.103,2.77,-0.11%,-0.46,2.0,3.0,2B,,2022-09-28,144,120,661099
62,636,157,2022-09-30,ATL,,NYM,"W,5-2",CG,3,3,0,2,1,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.245,0.319,0.427,0.747,9,0.54,0.05,1.37,0.08%,1.24,10.0,12.5,2B,,2022-09-30,144,121,661467
63,637,158,2022-10-01,ATL,,NYM,"W,4-2",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.241,0.315,0.421,0.736,9,0.85,-0.065,3.07,-0.14%,-0.65,0.0,0.0,2B,,2022-10-01,144,121,661466
