Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,17 (16),2021-04-21,DET,,PIT,"L,2-3",CG(7),3,1,0,0,0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.667,0.0,0.667,8,1.76,0.062,1.41,0.03%,0.65,,,3B,1.0,2021-04-21,116,134,634390
2,2,20 (2),2021-04-23,DET,,KCR,"L,2-6",CG,4,4,0,1,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.2,0.429,0.2,0.629,2,0.57,-0.023,0.49,-0.01%,-0.23,,,2B,,2021-04-23,116,118,634412
3,3,53 (32),2021-05-30,DET,,NYY,"W,6-2",CG,4,2,1,1,0,0,0,0,2,0.0,1,0,0,0.0,0,0.0,0,0,0.286,0.545,0.286,0.831,8,0.32,0.022,0.11,0.00%,0.53,,,SS,,2021-05-30,116,147,633854
4,4,55 (1),2021-06-01,DET,@,MIL,"W,10-7",6-GF,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.375,0.583,0.375,0.958,3,0.27,0.013,0.08,0.00%,0.42,,,SS,,2021-06-01,116,158,633878
5,5,57 (1),2021-06-04,DET,@,CHW,"L,8-9",CG,4,3,1,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.273,0.5,0.273,0.773,7,0.97,-0.073,0.35,-0.02%,-0.22,,,SS,,2021-06-04,116,145,633840
6,6,76 (18),2021-06-26,DET,,HOU,"W,3-1",CG(7),2,2,1,2,1,0,1,2,0,0.0,0,0,0,0.0,0,0.0,0,0,0.385,0.556,0.692,1.248,9,1.65,0.336,0.25,0.03%,2.21,,,SS,1.0,2021-06-26,116,117,633530
7,7,77,2021-06-26,DET,,HOU,"L,2-3",CG(7),3,3,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.313,0.476,0.563,1.039,9,1.35,-0.101,0.24,-0.01%,-0.56,,,SS,2.0,2021-06-26,116,117,633509
8,8,78,2021-06-27,DET,,HOU,"W,2-1",CG(10),4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.263,0.44,0.474,0.914,8,1.93,-0.061,0.31,-0.01%,-0.45,,,SS,,2021-06-27,116,117,633494
9,9,80 (1),2021-06-30,DET,@,CLE,"W,9-4",CG(7),4,2,1,1,0,0,0,0,2,0.0,1,0,0,0.0,0,0.0,0,0,0.286,0.483,0.476,0.959,7,1.43,0.084,0.25,0.01%,0.43,,,SS,1.0,2021-06-30,116,114,633432
10,10,81,2021-06-30,DET,@,CLE,"W,7-1",CG(7),4,3,1,2,1,0,0,1,0,0.0,1,0,0,1.0,0,0.0,0,0,0.333,0.485,0.542,1.027,7,0.74,0.054,0.15,0.01%,1.03,,,SS,2.0,2021-06-30,116,114,633506
11,11,83 (1),2021-07-03,DET,,CHW,"W,11-5",CG,4,2,0,0,0,0,0,1,2,0.0,0,0,0,0.0,0,0.0,0,0,0.308,0.486,0.5,0.986,7,1.12,0.051,0.24,0.01%,0.79,,,SS,,2021-07-03,116,145,633442
12,12,84,2021-07-04,DET,,CHW,"W,6-5",CG,4,4,0,0,0,0,0,0,0,0.0,4,0,0,0.0,0,0.0,0,0,0.267,0.439,0.433,0.872,9,0.57,-0.067,0.15,-0.01%,-1.55,,,SS,,2021-07-04,116,145,633410
13,13,85,2021-07-05,DET,@,TEX,"W,7-3",CG,4,3,1,1,0,0,1,3,0,0.0,2,0,0,1.0,0,0.0,0,0,0.273,0.422,0.515,0.937,9,0.74,-0.004,0.18,0.00%,1.02,,,SS,,2021-07-05,116,140,633400
14,14,86,2021-07-06,DET,@,TEX,"L,5-10",CG,4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.408,0.472,0.88,7,0.78,-0.076,0.25,-0.02%,-0.39,,,SS,,2021-07-06,116,140,633364
15,15,87,2021-07-07,DET,@,TEX,"W,5-3",CG,4,3,1,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.231,0.396,0.436,0.832,7,1.1,-0.095,0.31,-0.02%,-0.52,,,SS,,2021-07-07,116,140,633349
16,16,88,2021-07-08,DET,@,MIN,"L,3-5",CG,4,3,0,0,0,0,0,1,1,0.0,2,0,0,0.0,0,0.0,0,0,0.214,0.386,0.405,0.791,6,1.3,0.018,0.38,0.00%,0.37,,,SS,,2021-07-08,116,142,633359
17,17,89,2021-07-09,DET,@,MIN,"L,2-4",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.196,0.361,0.37,0.73,8,1.55,-0.184,0.37,-0.03%,-1.55,,,SS,,2021-07-09,116,142,633366
18,18,90,2021-07-10,DET,@,MIN,"L,4-9",CG,4,3,1,2,0,0,1,2,0,0.0,1,0,0,1.0,0,0.0,0,0,0.224,0.369,0.449,0.818,8,0.49,0.13,0.08,0.01%,1.19,,,SS,,2021-07-10,116,142,633289
19,19,91,2021-07-11,DET,@,MIN,"L,9-12",CG(10),4,2,2,0,0,0,0,0,2,0.0,1,0,0,0.0,0,0.0,0,0,0.216,0.377,0.431,0.808,8,1.28,0.089,0.16,0.01%,0.23,,,SS,,2021-07-11,116,142,633307
20,20,92,2021-07-17,DET,,MIN,"W,1-0",CG(7),3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.204,0.361,0.407,0.769,7,0.91,-0.071,0.09,0.00%,-0.83,,,SS,1.0,2021-07-17,116,142,634222
21,21,93,2021-07-17,DET,,MIN,"W,5-4",CG(8),3,3,1,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.211,0.36,0.404,0.764,8,1.56,-0.066,0.17,0.00%,-0.2,,,SS,2.0,2021-07-17,116,142,633275
22,22,94,2021-07-18,DET,,MIN,"W,7-0",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.197,0.342,0.377,0.719,7,0.24,-0.025,0.03,0.00%,-0.94,,,SS,,2021-07-18,116,142,633280
23,23,95,2021-07-19,DET,,TEX,"W,14-0",6-GF,2,2,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.19,0.333,0.365,0.698,8,0.0,0.0,0.0,0.00%,-1.64,,,PR 3B,,2021-07-19,116,140,633329
24,24,96,2021-07-20,DET,,TEX,"W,4-1",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.182,0.321,0.348,0.67,8,0.95,-0.073,0.15,-0.01%,-0.96,,,SS,,2021-07-20,116,140,633212
25,25,97,2021-07-21,DET,,TEX,"W,4-2",CG,3,3,1,1,0,0,1,2,0,0.0,0,0,0,0.0,0,0.0,0,0,0.188,0.322,0.391,0.713,7,0.81,0.147,0.14,0.02%,1.27,,,SS,,2021-07-21,116,140,633203
26,26,98,2021-07-22,DET,,TEX,"W,7-5",CG,4,4,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.192,0.319,0.425,0.743,8,0.36,0.015,0.07,0.00%,0.09,,,SS,,2021-07-22,116,140,633258
27,27,99,2021-07-23,DET,@,KCR,"L,3-5",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,2.0,0,0,0.182,0.305,0.403,0.708,6,1.49,-0.295,0.38,-0.05%,-3.12,,,SS,,2021-07-23,116,118,633232
28,28,101 (1),2021-07-25,DET,@,KCR,"L,1-6",CG,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.188,0.306,0.4,0.706,8,0.57,-0.044,0.12,-0.01%,-0.47,,,SS,,2021-07-25,116,118,633183
29,29,102,2021-07-26,DET,@,MIN,"L,5-6",9-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.188,0.306,0.4,0.706,8,,,,,,,,SS,,2021-07-26,116,142,633133
30,30,103,2021-07-27,DET,@,MIN,"W,6-5",GS-8,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.183,0.3,0.39,0.69,9,0.55,-0.028,0.07,0.00%,-0.41,,,SS,,2021-07-27,116,142,633137
31,31,104,2021-07-28,DET,@,MIN,"W,17-14",CG,6,5,1,1,1,0,0,2,0,0.0,1,0,0,1.0,0,0.0,0,0,0.184,0.292,0.391,0.683,6,0.29,-0.003,0.05,0.00%,0.59,,,SS,,2021-07-28,116,142,633138
32,32,105,2021-07-29,DET,,BAL,"W,6-2",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.176,0.282,0.374,0.655,8,0.27,-0.027,0.05,0.00%,-0.88,,,SS,,2021-07-29,116,110,633115
33,33,106,2021-07-30,DET,,BAL,"L,3-4",7-GF,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.172,0.277,0.366,0.642,7,3.45,-0.183,0.81,-0.03%,-0.98,,,PH SS,,2021-07-30,116,110,633107
34,34,107,2021-07-31,DET,,BAL,"L,2-5",CG,4,3,0,0,0,0,0,0,1,0.0,3,0,0,0.0,0,0.0,0,0,0.167,0.276,0.354,0.63,8,1.49,-0.006,0.26,0.00%,-0.19,,,SS,,2021-07-31,116,110,633105
35,35,108,2021-08-01,DET,,BAL,"W,6-2",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.16,0.267,0.34,0.607,9,0.44,-0.055,0.07,-0.01%,-1.22,,,SS,,2021-08-01,116,110,633050
36,36,109,2021-08-03,DET,,BOS,"W,4-2",8-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.158,0.264,0.337,0.601,7,0.13,-0.003,0.02,0.00%,-0.11,,,PH SS,,2021-08-03,116,111,633087
37,37,110,2021-08-04,DET,,BOS,"L,1-4",GS-8,3,1,0,0,0,0,0,0,2,0.0,1,0,0,0.0,0,0.0,0,0,0.157,0.274,0.333,0.608,8,0.84,0.014,0.13,0.00%,0.07,,,SS,,2021-08-04,116,111,633052
38,38,111,2021-08-05,DET,,BOS,"W,8-1",CG,4,3,0,0,0,0,0,1,0,0.0,2,0,0,1.0,0,0.0,0,0,0.152,0.266,0.324,0.589,7,0.36,-0.021,0.05,0.00%,-1.06,,,SS,,2021-08-05,116,111,633026
39,39,113 (1),2021-08-07,DET,@,CLE,"W,2-1",CG,3,2,0,0,0,0,0,1,0,0.0,0,0,0,1.0,0,0.0,0,0,0.15,0.26,0.318,0.577,8,1.4,-0.05,0.18,0.00%,-0.66,,,SS,,2021-08-07,116,114,632993
40,40,114,2021-08-08,DET,@,CLE,"L,5-7",GS-8,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.145,0.254,0.309,0.563,7,1.53,-0.122,0.21,-0.01%,-1.23,,,SS,,2021-08-08,116,114,632991
41,41,116 (1),2021-08-11,DET,@,BAL,"W,5-2",5-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.144,0.252,0.306,0.558,7,0.06,-0.002,0.01,0.00%,-0.11,,,PR SS,,2021-08-11,116,110,632922
42,42,117,2021-08-12,DET,@,BAL,"W,6-4",CG,4,3,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.14,0.252,0.298,0.55,9,0.5,-0.034,0.07,0.00%,-0.26,,,SS,,2021-08-12,116,110,632938
43,43,119 (1),2021-08-14,DET,,CLE,"W,6-4",CG,4,4,0,1,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.144,0.252,0.297,0.548,9,1.02,0.001,0.14,0.00%,-0.14,,,SS,,2021-08-14,116,114,632819
44,44,120,2021-08-15,DET,,CLE,"L,0-11",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.144,0.252,0.297,0.548,4,,,,,,,,SS,,2021-08-15,116,114,632910
45,45,123 (2),2021-08-19,DET,,LAA,"L,10-13",CG,5,5,1,1,0,0,1,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.146,0.25,0.317,0.567,7,0.42,0.073,0.02,0.00%,0.06,,,SS,,2021-08-19,116,108,632846
