Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,374.0,2021-04-04,PIT,@,CHC,"L,3-4",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.42,-0.037,1.52,-0.02%,-0.11,0.0,0.0,PH,,2021-04-04,134,112,634613,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,375.0,2021-04-05,PIT,@,CIN,"L,3-5",8-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.17,-0.057,2.29,-0.04%,-0.26,0.0,0.0,PH 3B,,2021-04-05,134,113,634558,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,376.0,2021-04-06,PIT,@,CIN,"L,1-14",5-GF,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.01,-0.001,0.01,0.00%,-0.65,0.0,0.0,CF,,2021-04-06,134,113,634530,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,377.0,2021-04-07,PIT,@,CIN,"L,4-11",CG,4.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.625,1.0,2.0,0.31,0.02,0.28,0.01%,1.36,0.0,0.0,3B,,2021-04-07,134,113,634570,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5.0,378.0,2021-04-08,PIT,,CHC,"L,2-4",8-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.556,0.889,9.0,6.05,-0.154,5.13,-0.08%,-0.78,0.0,0.0,PH,,2021-04-08,134,112,634555,2021,0.375,0.375,0.875,1.25,0.0,0.0,2.0,5.0,3.0,0.375,0.375,0.875,1.25,0.0,0.0,2.0,5.0,3.0,0.375,0.375,0.875,1.25,0.0,0.0,2.0,5.0,3.0
6.0,379.0,2021-04-10,PIT,,CHC,"W,8-2",5-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,9.0,0.12,-0.003,0.09,0.00%,-0.32,0.0,0.0,PH,,2021-04-10,134,112,632195,2021,0.333,0.333,0.778,1.111,0.0,0.0,2.0,5.0,4.0,0.333,0.333,0.778,1.111,0.0,0.0,2.0,5.0,4.0,0.333,0.333,0.778,1.111,0.0,0.0,2.0,5.0,4.0
7.0,380.0,2021-04-11,PIT,,CHC,"W,7-1",7-8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.364,0.818,1.182,9.0,0.13,0.019,0.11,0.01%,1.58,0.0,0.0,PH,,2021-04-11,134,112,632225,2021,0.3,0.3,0.7,1.0,0.0,0.0,2.0,5.0,4.0,0.333,0.333,0.778,1.111,0.0,0.0,2.0,5.0,4.0,0.3,0.3,0.7,1.0,0.0,0.0,2.0,5.0,4.0
8.0,381.0,2021-04-12,PIT,,SDP,"L,2-6",8-9,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.417,1.0,1.417,9.0,0.15,0.014,0.12,0.01%,0.68,0.0,0.0,PH,,2021-04-12,134,135,632198,2021,0.364,0.364,1.091,1.455,0.0,0.0,3.0,9.0,4.0,0.444,0.444,1.333,1.778,0.0,0.0,3.0,9.0,3.0,0.364,0.364,1.091,1.455,0.0,0.0,3.0,9.0,4.0
9.0,382.0,2021-04-13,PIT,,SDP,"W,8-4",CG,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.294,0.706,1.0,2.0,0.65,-0.099,0.5,-0.05%,-1.68,0.0,0.0,CF,,2021-04-13,134,135,634535,2021,0.417,0.417,1.333,1.75,0.0,0.0,4.0,12.0,4.0,0.625,0.625,2.0,2.625,0.0,0.0,4.0,12.0,2.0,0.417,0.417,1.333,1.75,0.0,0.0,4.0,12.0,4.0
10.0,383.0,2021-04-14,PIT,,SDP,"W,5-1",8-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.278,0.667,0.944,5.0,0.54,-0.014,0.43,-0.01%,-0.24,0.0,0.0,PH,,2021-04-14,134,135,634523,2021,0.294,0.294,0.941,1.235,0.0,0.0,4.0,12.0,8.0,0.222,0.222,1.0,1.222,0.0,0.0,2.0,7.0,5.0,0.294,0.294,0.941,1.235,0.0,0.0,4.0,12.0,8.0
11.0,384.0,2021-04-15,PIT,,SDP,"L,3-8",7-8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,0.316,0.684,1.0,9.0,0.42,0.02,0.38,0.01%,0.39,0.0,0.0,PH,,2021-04-15,134,135,634621,2021,0.278,0.278,0.889,1.167,0.0,0.0,4.0,12.0,8.0,0.222,0.222,1.0,1.222,0.0,0.0,2.0,7.0,4.0,0.278,0.278,0.889,1.167,0.0,0.0,4.0,12.0,8.0
12.0,385.0,2021-04-16,PIT,@,MIL,"W,6-1",7-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.65,0.95,9.0,0.36,-0.009,0.34,-0.01%,-0.24,0.0,0.0,PH,,2021-04-16,134,158,634483,2021,0.316,0.316,0.895,1.211,0.0,0.0,4.0,13.0,8.0,0.333,0.333,1.111,1.444,0.0,0.0,2.0,8.0,4.0,0.316,0.316,0.895,1.211,0.0,0.0,4.0,13.0,8.0
13.0,386.0,2021-04-17,PIT,@,MIL,"L,1-7",7-GF,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.273,0.591,0.864,9.0,0.27,-0.012,0.27,-0.01%,-0.8,0.0,0.0,PH 3B,,2021-04-17,134,158,634473,2021,0.3,0.3,0.85,1.15,0.0,0.0,4.0,13.0,9.0,0.222,0.222,0.556,0.778,0.0,0.0,1.0,4.0,5.0,0.3,0.3,0.85,1.15,0.0,0.0,4.0,13.0,9.0
14.0,387.0,2021-04-18,PIT,@,MIL,"W,6-5",6-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.261,0.565,0.826,9.0,2.53,-0.065,2.41,-0.04%,-0.44,0.0,0.0,PH,,2021-04-18,134,158,634455,2021,0.273,0.273,0.773,1.045,0.0,0.0,4.0,13.0,10.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,6.0,0.273,0.273,0.773,1.045,0.0,0.0,4.0,13.0,10.0
15.0,388.0,2021-04-23,PIT,@,MIN,"L,0-2",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.269,0.52,0.789,8.0,1.43,-0.008,1.35,0.00%,-0.32,0.0,0.0,RF,,2021-04-23,134,142,634434,2021,0.261,0.261,0.739,1.0,0.0,0.0,4.0,13.0,11.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,3.0,0.261,0.261,0.739,1.0,0.0,0.0,4.0,13.0,11.0
16.0,389.0,2021-04-27,PIT,,KCR,"W,2-1",7-8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.296,0.538,0.835,9.0,3.27,0.114,3.23,0.07%,0.73,0.0,0.0,PH,,2021-04-27,134,118,634331,2021,0.24,0.269,0.68,0.949,0.0,0.0,4.0,13.0,11.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,3.0,0.24,0.269,0.68,0.949,0.0,0.0,4.0,13.0,11.0
17.0,390.0,2021-04-28,PIT,,KCR,"L,6-9",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.29,0.483,0.773,7.0,1.17,-0.015,1.2,-0.01%,-0.31,0.0,0.0,RF,,2021-04-28,134,118,634315,2021,0.269,0.296,0.692,0.989,0.0,0.0,4.0,14.0,11.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,3.0,0.269,0.296,0.692,0.989,0.0,0.0,4.0,14.0,11.0
18.0,391.0,2021-04-30,PIT,,STL,"L,3-7",5-6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.313,0.5,0.813,9.0,1.25,0.053,1.45,0.04%,0.39,0.0,0.0,PH,,2021-04-30,134,138,634325,2021,0.241,0.29,0.621,0.911,0.0,0.0,4.0,14.0,12.0,0.111,0.273,0.111,0.384,0.0,0.0,0.0,1.0,3.0,0.241,0.29,0.621,0.911,0.0,0.0,4.0,14.0,12.0
19.0,392.0,2021-05-01,PIT,,STL,"L,5-12",7-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.303,0.484,0.787,9.0,0.7,-0.018,0.75,-0.01%,-0.24,0.0,0.0,PH,,2021-05-01,134,138,634284,2021,0.267,0.312,0.633,0.946,0.0,0.0,4.0,15.0,12.0,0.25,0.4,0.25,0.65,0.0,0.0,0.0,2.0,2.0,0.267,0.312,0.633,0.946,0.0,0.0,4.0,15.0,12.0
20.0,393.0,2021-05-02,PIT,,STL,"L,0-3",7-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.294,0.469,0.763,9.0,0.38,-0.01,0.37,-0.01%,-0.11,0.0,0.0,PH,,2021-05-02,134,138,634260,2021,0.258,0.303,0.613,0.916,0.0,0.0,4.0,15.0,12.0,0.25,0.4,0.25,0.65,0.0,0.0,0.0,2.0,1.0,0.258,0.303,0.613,0.916,0.0,0.0,4.0,15.0,12.0
21.0,394.0,2021-05-04,PIT,@,SDP,"W,2-1",7-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.286,0.455,0.74,9.0,0.56,-0.014,0.46,-0.01%,-0.22,0.0,0.0,PH,,2021-05-04,134,135,634313,2021,0.25,0.294,0.594,0.888,0.0,0.0,4.0,15.0,12.0,0.286,0.375,0.286,0.661,0.0,0.0,0.0,2.0,1.0,0.25,0.294,0.594,0.888,0.0,0.0,4.0,15.0,12.0
22.0,395.0,2021-05-07,PIT,@,CHC,"L,2-3",9-GF,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.306,0.471,0.776,9.0,2.81,0.084,2.58,0.05%,0.27,0.0,0.0,PH,,2021-05-07,134,112,634216,2021,0.25,0.294,0.594,0.888,0.0,0.0,4.0,15.0,13.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,2.0,0.242,0.286,0.576,0.861,0.0,0.0,4.0,15.0,13.0
23.0,396.0,2021-05-08,PIT,@,CHC,"L,2-3",CG,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.268,0.41,0.679,2.0,1.9,-0.245,1.51,-0.12%,-1.87,0.0,0.0,CF,,2021-05-08,134,112,634212,2021,0.281,0.324,0.625,0.949,0.0,0.0,4.0,16.0,12.0,0.4,0.4,0.4,0.8,0.0,0.0,0.0,2.0,1.0,0.265,0.306,0.588,0.894,0.0,0.0,4.0,16.0,13.0
24.0,397.0,2021-05-09,PIT,@,CHC,"W,6-5",CG,5.0,5.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.304,0.477,0.782,6.0,0.6,0.23,0.45,0.11%,2.54,0.0,0.0,CF,,2021-05-09,134,112,634237,2021,0.257,0.297,0.571,0.869,0.0,0.0,4.0,16.0,12.0,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,2.0,0.231,0.268,0.513,0.781,0.0,0.0,4.0,16.0,14.0
25.0,398.0,2021-05-10,PIT,,CIN,"L,1-14",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.28,0.438,0.718,6.0,0.36,-0.036,0.28,-0.02%,-1.14,0.0,0.0,2B 3B,,2021-05-10,134,113,634152,2021,0.25,0.289,0.528,0.817,0.0,0.0,3.0,16.0,13.0,0.308,0.308,0.538,0.846,0.0,0.0,1.0,6.0,4.0,0.273,0.304,0.591,0.895,0.0,0.0,5.0,21.0,16.0
26.0,399.0,2021-05-12,PIT,,CIN,"L,1-5",CG(10),4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.278,0.423,0.701,6.0,1.67,-0.055,1.27,-0.03%,-0.32,0.0,0.0,2B 3B,,2021-05-12,134,113,634137,2021,0.231,0.268,0.487,0.755,0.0,0.0,3.0,16.0,12.0,0.25,0.25,0.438,0.688,0.0,0.0,1.0,6.0,4.0,0.25,0.28,0.542,0.822,0.0,0.0,5.0,21.0,16.0
27.0,400.0,2021-05-13,PIT,,SFG,"L,1-3",8-9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.291,0.434,0.725,9.0,1.16,0.053,0.8,0.02%,0.26,0.0,0.0,PH,,2021-05-13,134,137,634113,2021,0.238,0.273,0.476,0.749,0.0,0.0,3.0,17.0,13.0,0.263,0.263,0.421,0.684,0.0,0.0,1.0,7.0,4.0,0.25,0.278,0.519,0.797,0.0,0.0,5.0,22.0,17.0
