Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,11 (10),2024-04-10,BAL,@,BOS,"W,7-5",CG,4,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,1.33,-0.103,1.35,-0.06%,-0.87,2.0,3.5,2B,,2024-04-10,110,111,746980
2.0,2.0,12,2024-04-11,BAL,@,BOS,"W,9-4",CG(10),4,4,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,9.0,2.42,-0.106,2.66,-0.07%,-0.7,4.0,6.4,2B,,2024-04-11,110,111,746977
3.0,3.0,13,2024-04-12,BAL,,MIL,"L,1-11",CG,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.0,0.37,-0.028,0.38,-0.02%,-0.57,0.0,0.0,2B,,2024-04-12,110,158,747055
4.0,4.0,15 (1),2024-04-14,BAL,,MIL,"W,6-4",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.067,0.067,0.067,0.133,9.0,1.33,0.135,1.25,0.08%,0.14,5.0,6.2,2B,,2024-04-14,110,158,747056
5.0,5.0,16,2024-04-15,BAL,,MIN,"W,7-4",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.053,0.053,0.053,0.105,9.0,0.34,-0.034,0.36,-0.02%,-0.65,0.0,0.0,2B,,2024-04-15,110,142,747053
6.0,6.0,17,2024-04-16,BAL,,MIN,"W,11-3",CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.045,0.087,0.045,0.132,8.0,0.34,-0.029,0.36,-0.02%,-0.84,4.0,6.2,2B,,2024-04-16,110,142,747051
7.0,7.0,18,2024-04-17,BAL,,MIN,"W,4-2",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.04,0.077,0.04,0.117,9.0,1.31,-0.096,1.4,-0.06%,-0.82,0.0,0.0,2B,,2024-04-17,110,142,747049
8.0,8.0,19,2024-04-19,BAL,@,KCR,"L,4-9",GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.037,0.071,0.037,0.108,9.0,0.82,-0.041,0.93,-0.03%,-0.33,0.0,0.0,2B,,2024-04-19,110,118,746325
9.0,9.0,21 (1),2024-04-21,BAL,@,KCR,"W,5-0",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.033,0.094,0.033,0.127,9.0,0.55,-0.073,0.65,-0.05%,-1.27,2.0,3.0,2B,,2024-04-21,110,118,746316
10.0,10.0,23 (1),2024-04-23,BAL,@,LAA,"L,4-7",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.059,0.111,0.059,0.17,9.0,0.57,-0.038,0.65,-0.03%,0.0,5.0,6.2,2B,,2024-04-23,110,108,746246
